mp_id,mp_name,house_type,tenure,state_code,state_name,constituency,nodal_district,annual_entitlement_inr,allocated_limit_inr,calamity_consent_amount_inr,record_effective_date,source_type,source_reference,synthetic_marker
MP-AP-001,Demo MP AP-001,Lok Sabha,18th Lok Sabha / Current Demo Tenure,AP,Andhra Pradesh,Andhra Pradesh Demo Constituency 1,Andhra Pradesh Demo District 1,50000000,53002000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-AP-002,Demo MP AP-002,Lok Sabha,18th Lok Sabha / Current Demo Tenure,AP,Andhra Pradesh,Andhra Pradesh Demo Constituency 2,Andhra Pradesh Demo District 2,50000000,51038000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-AP-003,Demo MP AP-003,Lok Sabha,18th Lok Sabha / Current Demo Tenure,AP,Andhra Pradesh,Andhra Pradesh Demo Constituency 3,Andhra Pradesh Demo District 3,50000000,53038000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-AP-004,Demo MP AP-004,Lok Sabha,18th Lok Sabha / Current Demo Tenure,AP,Andhra Pradesh,Andhra Pradesh Demo Constituency 4,Andhra Pradesh Demo District 4,50000000,52259000,2523000,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-AP-005,Demo MP AP-005,Lok Sabha,18th Lok Sabha / Current Demo Tenure,AP,Andhra Pradesh,Andhra Pradesh Demo Constituency 5,Andhra Pradesh Demo District 1,50000000,52389000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-AP-006,Demo MP AP-006,Rajya Sabha,18th Lok Sabha / Current Demo Tenure,AP,Andhra Pradesh,Andhra Pradesh Rajya Sabha Seat,Andhra Pradesh Demo District 2,50000000,52262000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-TS-001,Demo MP TS-001,Lok Sabha,18th Lok Sabha / Current Demo Tenure,TS,Telangana,Telangana Demo Constituency 1,Telangana Demo District 1,50000000,50320000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-TS-002,Demo MP TS-002,Lok Sabha,18th Lok Sabha / Current Demo Tenure,TS,Telangana,Telangana Demo Constituency 2,Telangana Demo District 2,50000000,47582000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-TS-003,Demo MP TS-003,Lok Sabha,18th Lok Sabha / Current Demo Tenure,TS,Telangana,Telangana Demo Constituency 3,Telangana Demo District 3,50000000,46750000,2093000,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-TS-004,Demo MP TS-004,Lok Sabha,18th Lok Sabha / Current Demo Tenure,TS,Telangana,Telangana Demo Constituency 4,Telangana Demo District 4,50000000,52990000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-TS-005,Demo MP TS-005,Lok Sabha,18th Lok Sabha / Current Demo Tenure,TS,Telangana,Telangana Demo Constituency 5,Telangana Demo District 1,50000000,51102000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-TS-006,Demo MP TS-006,Rajya Sabha,18th Lok Sabha / Current Demo Tenure,TS,Telangana,Telangana Rajya Sabha Seat,Telangana Demo District 2,50000000,46565000,2297000,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-KA-001,Demo MP KA-001,Lok Sabha,18th Lok Sabha / Current Demo Tenure,KA,Karnataka,Karnataka Demo Constituency 1,Karnataka Demo District 1,50000000,53768000,2233000,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-KA-002,Demo MP KA-002,Lok Sabha,18th Lok Sabha / Current Demo Tenure,KA,Karnataka,Karnataka Demo Constituency 2,Karnataka Demo District 2,50000000,53108000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-KA-003,Demo MP KA-003,Lok Sabha,18th Lok Sabha / Current Demo Tenure,KA,Karnataka,Karnataka Demo Constituency 3,Karnataka Demo District 3,50000000,51557000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-KA-004,Demo MP KA-004,Lok Sabha,18th Lok Sabha / Current Demo Tenure,KA,Karnataka,Karnataka Demo Constituency 4,Karnataka Demo District 4,50000000,46687000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-KA-005,Demo MP KA-005,Lok Sabha,18th Lok Sabha / Current Demo Tenure,KA,Karnataka,Karnataka Demo Constituency 5,Karnataka Demo District 1,50000000,49503000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-KA-006,Demo MP KA-006,Rajya Sabha,18th Lok Sabha / Current Demo Tenure,KA,Karnataka,Karnataka Rajya Sabha Seat,Karnataka Demo District 2,50000000,51576000,2350000,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-MH-001,Demo MP MH-001,Lok Sabha,18th Lok Sabha / Current Demo Tenure,MH,Maharashtra,Maharashtra Demo Constituency 1,Maharashtra Demo District 1,50000000,47008000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
MP-MH-002,Demo MP MH-002,Lok Sabha,18th Lok Sabha / Current Demo Tenure,MH,Maharashtra,Maharashtra Demo Constituency 2,Maharashtra Demo District 2,50000000,50191000,0,2026-04-01,SYNTHETIC_PROTOTYPE,Replace with MoSPI 'Allocated Limit for Honble MPs' and 'Amount consented for Calamity' exports,True
