payment_id,work_id,vendor_id,payment_request_date,authorization_date,payment_release_date,payment_amount_inr,payment_stage,invoice_number,cumulative_expenditure_inr,payment_status,payment_mode,pfms_reference,authorized_by_agency_id,concurrence_authority,is_final_payment,source_type,synthetic_marker
P-W-000001-01,W-000001,VN-OD-003,2025-12-31,2025-12-31,2026-01-03,557000,Stage 1,INV-0001-01,557000,Released,PFMS/CNA Demo,DEMO-PFMS-34446592,IA-OD-006,Odisha Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000001-02,W-000001,VN-OD-003,2026-01-05,2026-01-11,2026-01-14,535000,Stage 2,INV-0001-02,1092000,Released,PFMS/CNA Demo,DEMO-PFMS-59498796,IA-OD-006,Odisha Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000001-03,W-000001,VN-OD-003,2026-01-31,2026-02-06,2026-02-08,312000,Stage 3,INV-0001-03,1404000,Released,PFMS/CNA Demo,DEMO-PFMS-11770753,IA-OD-006,Odisha Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000001-04,W-000001,VN-OD-003,2026-03-23,2026-03-24,2026-03-26,670000,Stage 4,INV-0001-04,2074000,Released,PFMS/CNA Demo,DEMO-PFMS-82647196,IA-OD-006,Odisha Demo District 4 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000001-05,W-000001,VN-OD-003,2026-07-19,2026-07-20,2026-07-21,397000,Stage 5,INV-0001-05,2471000,Released,PFMS/CNA Demo,DEMO-PFMS-84969410,IA-OD-006,Odisha Demo District 4 Demo District Authority,True,SYNTHETIC_PROTOTYPE,True
P-W-000002-01,W-000002,VN-KA-010,2024-07-23,2024-07-27,2024-07-28,269000,Stage 1,INV-0002-01,269000,Released,PFMS/CNA Demo,DEMO-PFMS-48961828,IA-KA-001,Karnataka Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000002-02,W-000002,VN-KA-010,2024-09-26,2024-10-03,2024-10-05,265000,Stage 2,INV-0002-02,534000,Released,PFMS/CNA Demo,DEMO-PFMS-93362350,IA-KA-001,Karnataka Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000002-03,W-000002,VN-KA-010,2024-10-04,2024-10-08,2024-10-08,402000,Stage 3,INV-0002-03,936000,Released,PFMS/CNA Demo,DEMO-PFMS-66047978,IA-KA-001,Karnataka Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000002-04,W-000002,VN-KA-010,2024-11-29,2024-11-28,2024-12-01,256000,Stage 4,INV-0002-04,1192000,Released,PFMS/CNA Demo,DEMO-PFMS-40027187,IA-KA-001,Karnataka Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000002-05,W-000002,VN-KA-010,2025-01-07,2025-01-08,2025-01-11,182000,Stage 5,INV-0002-05,1374000,Released,PFMS/CNA Demo,DEMO-PFMS-43721765,IA-KA-001,Karnataka Demo District 1 Demo District Authority,False,SYNTHETIC_PROTOTYPE,True
P-W-000002-06,W-000002,VN-KA-010,2025-04-24,2025-04-30,2025-05-03,256000,Stage 6,INV-0002-06,1630000,Released,PFMS/CNA Demo,DEMO-PFMS-75622406,IA-KA-001,Karnataka Demo District 1 Demo District Authority,True,SYNTHETIC_PROTOTYPE,True
