progress_id,work_id,report_date,physical_progress_pct,financial_progress_pct,expected_progress_pct_by_date,execution_stage,reported_status,reported_by_agency_id,photo_reference,geo_latitude,geo_longitude,remarks,source_type,synthetic_marker
PR-W-000001-01,W-000001,2026-01-16,20.3,44.1,11.8,Execution,Ongoing,IA-OD-006,demo://photos/W-000001/1,19.602321,85.073963,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000001-02,W-000001,2026-02-17,19.7,56.8,23.6,Execution,Ongoing,IA-OD-006,demo://photos/W-000001/2,19.602321,85.073963,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000001-03,W-000001,2026-03-22,40.1,56.8,35.8,Execution,Ongoing,IA-OD-006,demo://photos/W-000001/3,19.602321,85.073963,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000001-04,W-000001,2026-04-23,51.4,83.8,47.6,Execution,Ongoing,IA-OD-006,demo://photos/W-000001/4,19.602321,85.073963,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000001-05,W-000001,2026-05-25,65.0,83.8,59.4,Execution,Ongoing,IA-OD-006,demo://photos/W-000001/5,19.602321,85.073963,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000001-06,W-000001,2026-06-27,70.0,83.8,71.6,Execution,Ongoing,IA-OD-006,demo://photos/W-000001/6,19.602321,85.073963,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000001-07,W-000001,2026-07-29,91.2,99.9,83.4,Finishing,Ongoing,IA-OD-006,demo://photos/W-000001/7,19.602321,85.073963,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000001-08,W-000001,2026-08-31,100.0,99.9,95.6,Completed,Completed,IA-OD-006,demo://photos/W-000001/8,19.602321,85.073963,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000002-01,W-000002,2024-12-15,20.2,69.3,63.2,Execution,Ongoing,IA-KA-001,demo://photos/W-000002/1,14.16933,76.788496,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000002-02,W-000002,2025-05-20,39.2,94.8,100.0,Execution,Ongoing,IA-KA-001,demo://photos/W-000002/2,14.16933,76.788496,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000002-03,W-000002,2025-10-23,56.6,94.8,100.0,Execution,Ongoing,IA-KA-001,demo://photos/W-000002/3,14.16933,76.788496,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000002-04,W-000002,2026-03-28,83.7,94.8,100.0,Finishing,Ongoing,IA-KA-001,demo://photos/W-000002/4,14.16933,76.788496,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000002-05,W-000002,2026-08-31,100.0,94.8,100.0,Completed,Completed,IA-KA-001,demo://photos/W-000002/5,14.16933,76.788496,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000003-01,W-000003,2024-09-11,28.4,66.8,100.0,Execution,Ongoing,IA-TS-005,demo://photos/W-000003/1,16.539143,80.264785,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000003-02,W-000003,2025-05-09,44.5,103.8,100.0,Execution,Ongoing,IA-TS-005,demo://photos/W-000003/2,16.539143,80.264785,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000003-03,W-000003,2026-01-03,81.6,103.8,100.0,Finishing,Ongoing,IA-TS-005,demo://photos/W-000003/3,16.539143,80.264785,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000003-04,W-000003,2026-08-31,100.0,103.8,100.0,Completed,Completed,IA-TS-005,demo://photos/W-000003/4,16.539143,80.264785,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000004-01,W-000004,2024-08-06,24.5,0.0,72.3,Execution,Ongoing,IA-OD-004,demo://photos/W-000004/1,19.83216,84.881281,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000004-02,W-000004,2025-04-15,49.3,101.3,100.0,Execution,Ongoing,IA-OD-004,demo://photos/W-000004/2,19.83216,84.881281,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000004-03,W-000004,2025-12-22,74.5,101.3,100.0,Execution,Ongoing,IA-OD-004,demo://photos/W-000004/3,19.83216,84.881281,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000004-04,W-000004,2026-08-31,100.0,101.3,100.0,Completed,Completed,IA-OD-004,demo://photos/W-000004/4,19.83216,84.881281,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000005-01,W-000005,2025-07-08,26.4,47.5,97.2,Execution,Ongoing,IA-AP-001,demo://photos/W-000005/1,15.513821,79.715918,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000005-02,W-000005,2026-02-02,67.4,85.3,100.0,Execution,Ongoing,IA-AP-001,demo://photos/W-000005/2,15.513821,79.715918,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000005-03,W-000005,2026-08-31,94.4,85.3,100.0,Finishing,Ongoing,IA-AP-001,demo://photos/W-000005/3,15.513821,79.715918,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000006-01,W-000006,2024-12-13,13.4,98.7,52.3,Execution,Ongoing,IA-AP-004,demo://photos/W-000006/1,15.76659,81.578146,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000006-02,W-000006,2025-04-17,39.3,98.7,100.0,Execution,Ongoing,IA-AP-004,demo://photos/W-000006/2,15.76659,81.578146,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000006-03,W-000006,2025-08-20,50.8,98.7,100.0,Execution,Ongoing,IA-AP-004,demo://photos/W-000006/3,15.76659,81.578146,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000006-04,W-000006,2025-12-23,73.4,98.7,100.0,Execution,Ongoing,IA-AP-004,demo://photos/W-000006/4,15.76659,81.578146,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000006-05,W-000006,2026-04-27,78.3,98.7,100.0,Finishing,Ongoing,IA-AP-004,demo://photos/W-000006/5,15.76659,81.578146,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000006-06,W-000006,2026-08-31,100.0,98.7,100.0,Completed,Completed,IA-AP-004,demo://photos/W-000006/6,15.76659,81.578146,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000007-01,W-000007,2024-03-23,11.1,44.9,64.3,Execution,Ongoing,IA-AP-003,demo://photos/W-000007/1,17.19942,79.730409,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000007-02,W-000007,2024-09-17,32.1,44.9,100.0,Execution,Ongoing,IA-AP-003,demo://photos/W-000007/2,17.19942,79.730409,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000007-03,W-000007,2025-03-14,48.6,97.6,100.0,Execution,Ongoing,IA-AP-003,demo://photos/W-000007/3,17.19942,79.730409,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000007-04,W-000007,2025-09-08,63.1,97.6,100.0,Execution,Ongoing,IA-AP-003,demo://photos/W-000007/4,17.19942,79.730409,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000007-05,W-000007,2026-03-05,75.3,97.6,100.0,Finishing,Ongoing,IA-AP-003,demo://photos/W-000007/5,17.19942,79.730409,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000007-06,W-000007,2026-08-31,100.0,97.6,100.0,Completed,Completed,IA-AP-003,demo://photos/W-000007/6,17.19942,79.730409,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000008-01,W-000008,2026-01-10,15.4,10.7,16.8,Execution,Ongoing,IA-MH-005,demo://photos/W-000008/1,18.895072,74.837045,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000008-02,W-000008,2026-03-09,31.6,44.5,33.5,Execution,Ongoing,IA-MH-005,demo://photos/W-000008/2,18.895072,74.837045,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000008-03,W-000008,2026-05-06,40.6,80.8,50.3,Execution,Ongoing,IA-MH-005,demo://photos/W-000008/3,18.895072,74.837045,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000008-04,W-000008,2026-07-03,60.1,80.8,67.1,Execution,Ongoing,IA-MH-005,demo://photos/W-000008/4,18.895072,74.837045,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000008-05,W-000008,2026-08-31,75.7,80.8,84.1,Finishing,Ongoing,IA-MH-005,demo://photos/W-000008/5,18.895072,74.837045,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000009-01,W-000009,2025-12-09,12.2,56.4,10.4,Execution,Ongoing,IA-MH-004,demo://photos/W-000009/1,20.138663,76.072026,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
PR-W-000009-02,W-000009,2026-01-16,20.8,56.4,21.1,Execution,Ongoing,IA-MH-004,demo://photos/W-000009/2,20.138663,76.072026,Synthetic progress record for prototype testing,SYNTHETIC_PROTOTYPE,True
