file_name,column_name,data_type,meaning,preferred_source_or_fallback,prototype_required
01_mp_master.csv,mp_id,string,Synthetic unique MP key,Official MoSPI allocation export / synthetic fallback,YES
01_mp_master.csv,mp_name,string,MP display name,Official MoSPI / synthetic demo,YES
01_mp_master.csv,house_type,category,Lok Sabha or Rajya Sabha,Official/public,YES
01_mp_master.csv,tenure,string,Parliamentary tenure,Official/public,YES
01_mp_master.csv,state_code,string,State abbreviation,Derived/public,YES
01_mp_master.csv,state_name,string,State,Official/public,YES
01_mp_master.csv,constituency,string,Constituency or seat label,Official/public,YES
01_mp_master.csv,nodal_district,string,Nodal district,Official/public,YES
01_mp_master.csv,annual_entitlement_inr,integer,Annual entitlement amount,Guidelines / synthetic,YES
01_mp_master.csv,allocated_limit_inr,integer,Allocated/authorized limit for MP,MoSPI supplied CSV,YES
01_mp_master.csv,calamity_consent_amount_inr,integer,Amount consented for calamity,MoSPI supplied CSV,YES
01_mp_master.csv,record_effective_date,date,Effective date of allocation record,Official/synthetic,YES
01_mp_master.csv,source_type,string,Provenance classification,System metadata,YES
01_mp_master.csv,source_reference,string,Where to obtain/replace source,System metadata,YES
01_mp_master.csv,synthetic_marker,boolean,True for demo rows,System metadata,YES
02_agencies_vendors.csv,entity_id,string,Agency/vendor key,Public/eSAKSHI or synthetic,YES
02_agencies_vendors.csv,entity_type,category,IMPLEMENTING_AGENCY or VENDOR,eSAKSHI / synthetic,YES
02_agencies_vendors.csv,entity_name,string,Agency/vendor name,eSAKSHI / synthetic,YES
02_agencies_vendors.csv,state_name,string,State,Public/eSAKSHI,YES
02_agencies_vendors.csv,district,string,District,Public/eSAKSHI,YES
02_agencies_vendors.csv,registration_or_office_code,string,Office/vendor identifier,eSAKSHI if available / synthetic,YES
02_agencies_vendors.csv,vendor_category,category,Vendor service category,eSAKSHI if available / synthetic,YES
02_agencies_vendors.csv,active_status,category,Active/inactive status,Synthetic/optional,YES
02_agencies_vendors.csv,source_type,string,Provenance classification,System metadata,YES
02_agencies_vendors.csv,synthetic_marker,boolean,True for demo rows,System metadata,YES
03_works.csv,work_id,string,Unique work key,Public MPLADS/eSAKSHI,YES
03_works.csv,mp_id,string,Foreign key to MP,Public/MoSPI,YES
03_works.csv,house_type,category,Lok Sabha/Rajya Sabha,Public,YES
03_works.csv,tenure,string,Tenure,Public,YES
03_works.csv,state_name,string,MP state,Public,YES
03_works.csv,constituency,string,MP constituency,Public,YES
03_works.csv,nodal_district,string,Nodal district,Public/eSAKSHI,YES
03_works.csv,recommendation_date,date,Date MP recommended work,Public scrape/eSAKSHI,YES
03_works.csv,recommendation_type,category,Normal/calamity/other permitted type,Public/eSAKSHI,YES
03_works.csv,sector,category,Work sector,Public MPLADS,YES
03_works.csv,sub_sector,category,Detailed work type,Public MPLADS,YES
03_works.csv,work_description,string,Free-text work description,Public MPLADS/eSAKSHI,YES
03_works.csv,work_location_state,string,State of work,Public,YES
