entity_id,entity_type,entity_name,state_name,district,active_status,source_type,synthetic_demo_data
IA-S01-01-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S01-01-01,Andhra Pradesh,Andhra Pradesh Demo District 1,ACTIVE,SYNTHETIC_V2,True
IA-S01-01-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S01-01-02,Andhra Pradesh,Andhra Pradesh Demo District 1,ACTIVE,SYNTHETIC_V2,True
IA-S01-01-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S01-01-03,Andhra Pradesh,Andhra Pradesh Demo District 1,ACTIVE,SYNTHETIC_V2,True
IA-S01-02-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S01-02-01,Andhra Pradesh,Andhra Pradesh Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S01-02-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S01-02-02,Andhra Pradesh,Andhra Pradesh Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S01-02-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S01-02-03,Andhra Pradesh,Andhra Pradesh Demo District 2,ACTIVE,SYNTHETIC_V2,True
IA-S01-03-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S01-03-01,Andhra Pradesh,Andhra Pradesh Demo District 3,ACTIVE,SYNTHETIC_V2,True
IA-S01-03-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S01-03-02,Andhra Pradesh,Andhra Pradesh Demo District 3,ACTIVE,SYNTHETIC_V2,True
IA-S01-03-03,IMPLEMENTING_AGENCY,Demo Implementing Agency S01-03-03,Andhra Pradesh,Andhra Pradesh Demo District 3,ACTIVE,SYNTHETIC_V2,True
IA-S02-01-01,IMPLEMENTING_AGENCY,Demo Implementing Agency S02-01-01,Karnataka,Karnataka Demo District 1,ACTIVE,SYNTHETIC_V2,True
IA-S02-01-02,IMPLEMENTING_AGENCY,Demo Implementing Agency S02-01-02,Karnataka,Karnataka Demo District 1,ACTIVE,SYNTHETIC_V2,True
