payment_id,work_id,payment_request_date,authorization_date,payment_release_date,payment_amount_inr,payment_stage,invoice_number,cumulative_expenditure_inr,payment_status,authorized_by_agency_id,source_type,synthetic_demo_data
PAY-V2-0000001,W-000002,2023-07-11,2023-07-12,2023-07-15,4650000,1,INV-000002-01,4650000,RELEASED,IA-S02-01-01,SYNTHETIC_V2,True
PAY-V2-0000002,W-000002,2024-04-24,2024-04-27,2024-04-28,1663000,2,INV-000002-02,6313000,RELEASED,IA-S02-01-01,SYNTHETIC_V2,True
PAY-V2-0000003,W-000002,2025-02-06,2025-02-09,2025-02-13,1814000,3,INV-000002-03,8127000,RELEASED,IA-S02-01-01,SYNTHETIC_V2,True
PAY-V2-0000004,W-000002,2025-11-21,2025-11-28,2025-11-30,1723000,4,INV-000002-04,9850000,RELEASED,IA-S02-01-01,SYNTHETIC_V2,True
PAY-V2-0000005,W-000003,2024-01-14,2024-01-19,2024-01-21,322000,1,INV-000003-01,322000,RELEASED,IA-S03-01-01,SYNTHETIC_V2,True
PAY-V2-0000006,W-000003,2025-05-10,2025-05-16,2025-05-21,249000,2,INV-000003-02,571000,RELEASED,IA-S03-01-01,SYNTHETIC_V2,True
PAY-V2-0000007,W-000004,2023-10-22,2023-10-26,2023-10-28,1849000,1,INV-000004-01,1849000,RELEASED,IA-S04-01-01,SYNTHETIC_V2,True
PAY-V2-0000008,W-000004,2024-10-05,2024-10-11,2024-10-14,3047000,2,INV-000004-02,4896000,RELEASED,IA-S04-01-01,SYNTHETIC_V2,True
PAY-V2-0000009,W-000004,2025-09-19,2025-09-21,2025-09-25,2999000,3,INV-000004-03,7895000,RELEASED,IA-S04-01-01,SYNTHETIC_V2,True
PAY-V2-0000010,W-000005,2023-07-15,2023-07-23,2023-07-26,934000,1,INV-000005-01,934000,RELEASED,IA-S05-01-01,SYNTHETIC_V2,True
PAY-V2-0000011,W-000005,2024-04-26,2024-04-27,2024-04-28,2161000,2,INV-000005-02,3095000,RELEASED,IA-S05-01-01,SYNTHETIC_V2,True
PAY-V2-0000012,W-000005,2025-02-06,2025-02-12,2025-02-14,1088000,3,INV-000005-03,4183000,RELEASED,IA-S05-01-01,SYNTHETIC_V2,True
PAY-V2-0000013,W-000005,2025-11-19,2025-11-22,2025-11-25,911000,4,INV-000005-04,5094000,RELEASED,IA-S05-01-01,SYNTHETIC_V2,True
PAY-V2-0000014,W-000006,2024-01-01,2024-01-08,2024-01-13,2253000,1,INV-000006-01,2253000,RELEASED,IA-S06-01-01,SYNTHETIC_V2,True
PAY-V2-0000015,W-000006,2025-05-04,2025-05-08,2025-05-12,3558000,2,INV-000006-02,5811000,RELEASED,IA-S06-01-01,SYNTHETIC_V2,True
PAY-V2-0000016,W-000007,2023-10-20,2023-10-21,2023-10-23,2549000,1,INV-000007-01,2549000,RELEASED,IA-S01-01-01,SYNTHETIC_V2,True
PAY-V2-0000017,W-000007,2024-10-04,2024-10-05,2024-10-10,2876000,2,INV-000007-02,5425000,RELEASED,IA-S01-01-01,SYNTHETIC_V2,True
PAY-V2-0000018,W-000007,2025-09-19,2025-09-22,2025-09-27,2772000,3,INV-000007-03,8197000,RELEASED,IA-S01-01-01,SYNTHETIC_V2,True
PAY-V2-0000019,W-000008,2023-09-01,2023-09-03,2023-09-05,2459000,1,INV-000008-01,2459000,RELEASED,IA-S02-01-01,SYNTHETIC_V2,True
PAY-V2-0000020,W-000008,2024-06-01,2024-06-05,2024-06-08,2791000,2,INV-000008-02,5250000,RELEASED,IA-S02-01-01,SYNTHETIC_V2,True
PAY-V2-0000021,W-000008,2025-03-02,2025-03-10,2025-03-12,1848000,3,INV-000008-03,7098000,RELEASED,IA-S02-01-01,SYNTHETIC_V2,True
PAY-V2-0000022,W-000008,2025-12-01,2025-12-08,2025-12-13,1684000,4,INV-000008-04,8782000,RELEASED,IA-S02-01-01,SYNTHETIC_V2,True
PAY-V2-0000023,W-000009,2022-11-07,2022-11-13,2022-11-15,1412000,1,INV-000009-01,1412000,RELEASED,IA-S03-01-01,SYNTHETIC_V2,True
PAY-V2-0000024,W-000009,2022-12-26,2022-12-31,2023-01-01,893000,2,INV-000009-02,2305000,RELEASED,IA-S03-01-01,SYNTHETIC_V2,True
PAY-V2-0000025,W-000009,2023-02-13,2023-02-18,2023-02-19,1163000,3,INV-000009-03,3468000,RELEASED,IA-S03-01-01,SYNTHETIC_V2,True
