progress_id,work_id,report_date,physical_progress_pct,financial_progress_pct,expected_progress_pct_by_date,reported_status,reported_by_agency_id,source_type,synthetic_demo_data
PROG-V2-00000001,W-000002,2022-09-15,2.1,9.4,2.0,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000002,W-000002,2022-10-15,3.0,3.6,4.1,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000003,W-000002,2022-11-15,8.7,8.6,6.1,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000004,W-000002,2022-12-15,9.1,9.5,8.2,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000005,W-000002,2023-01-15,10.0,16.8,10.2,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000006,W-000002,2023-02-15,10.8,0,12.2,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000007,W-000002,2023-03-15,11.9,11.8,14.3,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000008,W-000002,2023-04-15,15.7,11.5,16.3,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000009,W-000002,2023-05-15,20.2,10.7,18.4,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000010,W-000002,2023-06-15,15.4,17.1,20.4,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000011,W-000002,2023-07-15,19.3,6.3,22.4,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000012,W-000002,2023-08-15,22.4,17.2,24.5,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000013,W-000002,2023-09-15,25.4,28.8,26.5,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000014,W-000002,2023-10-15,28.2,22.3,28.6,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000015,W-000002,2023-11-15,28.0,16.4,30.6,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000016,W-000002,2023-12-15,30.0,33.7,32.7,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000017,W-000002,2024-01-15,29.8,24.3,34.7,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000018,W-000002,2024-02-15,35.5,41.6,36.7,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000019,W-000002,2024-03-15,39.9,38.8,38.8,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000020,W-000002,2024-04-15,34.9,25.3,40.8,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000021,W-000002,2024-05-15,38.9,44.0,42.9,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000022,W-000002,2024-06-15,44.9,28.7,44.9,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000023,W-000002,2024-07-15,44.5,53.9,46.9,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000024,W-000002,2024-08-15,44.6,34.9,49.0,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000025,W-000002,2024-09-15,45.0,41.6,51.0,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000026,W-000002,2024-10-15,50.6,42.6,53.1,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000027,W-000002,2024-11-15,52.5,45.9,55.1,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000028,W-000002,2024-12-15,53.4,47.5,57.1,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000029,W-000002,2025-01-15,53.9,51.0,59.2,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000030,W-000002,2025-02-15,54.6,46.5,61.2,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000031,W-000002,2025-03-15,61.4,67.9,63.3,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000032,W-000002,2025-04-15,62.5,55.9,65.3,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000033,W-000002,2025-05-15,63.7,64.2,67.3,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000034,W-000002,2025-06-15,61.0,63.9,69.4,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000035,W-000002,2025-07-15,65.6,60.3,71.4,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000036,W-000002,2025-08-15,68.1,58.0,73.5,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000037,W-000002,2025-09-15,67.7,75.7,75.5,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000038,W-000002,2025-10-15,68.5,61.0,77.6,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000039,W-000002,2025-11-15,68.7,70.3,79.6,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000040,W-000002,2025-12-15,78.2,82.9,81.6,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000041,W-000002,2026-01-15,73.5,66.5,83.7,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000042,W-000002,2026-02-15,77.7,73.0,85.7,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000043,W-000002,2026-03-15,80.1,88.7,87.8,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000044,W-000002,2026-04-15,83.3,75.9,89.8,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000045,W-000002,2026-05-15,86.4,83.2,91.8,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000046,W-000002,2026-06-15,83.4,88.8,93.9,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000047,W-000002,2026-07-15,88.4,92.4,95.9,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000048,W-000002,2026-08-15,89.0,86.6,98.0,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000049,W-000002,2026-09-05,92.0,98.1,100,ONGOING,IA-S02-01-01,SYNTHETIC_V2,True
PROG-V2-00000050,W-000003,2022-09-15,3.0,8.8,2.0,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000051,W-000003,2022-10-15,0.7,0,4.1,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000052,W-000003,2022-11-15,9.3,16.9,6.1,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000053,W-000003,2022-12-15,8.2,19.1,8.2,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000054,W-000003,2023-01-15,15.9,4.0,10.2,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000055,W-000003,2023-02-15,10.7,11.4,12.2,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000056,W-000003,2023-03-15,9.5,4.1,14.3,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000057,W-000003,2023-04-15,15.3,24.2,16.3,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000058,W-000003,2023-05-15,16.4,23.0,18.4,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000059,W-000003,2023-06-15,18.1,11.7,20.4,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000060,W-000003,2023-07-15,19.0,25.4,22.4,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000061,W-000003,2023-08-15,22.8,14.4,24.5,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000062,W-000003,2023-09-15,24.5,17.1,26.5,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000063,W-000003,2023-10-15,25.7,26.8,28.6,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000064,W-000003,2023-11-15,27.8,20.6,30.6,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000065,W-000003,2023-12-15,31.7,26.0,32.7,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000066,W-000003,2024-01-15,34.0,25.1,34.7,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000067,W-000003,2024-02-15,32.8,40.9,36.7,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000068,W-000003,2024-03-15,35.2,45.8,38.8,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000069,W-000003,2024-04-15,34.6,35.2,40.8,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000070,W-000003,2024-05-15,43.1,67.0,42.9,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000071,W-000003,2024-06-15,43.7,40.9,44.9,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000072,W-000003,2024-07-15,39.7,49.2,46.9,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000073,W-000003,2024-08-15,45.0,35.3,49.0,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000074,W-000003,2024-09-15,48.2,49.2,51.0,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000075,W-000003,2024-10-15,47.3,50.6,53.1,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000076,W-000003,2024-11-15,50.6,52.6,55.1,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000077,W-000003,2024-12-15,53.3,55.5,57.1,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000078,W-000003,2025-01-15,54.0,39.8,59.2,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000079,W-000003,2025-02-15,56.4,61.1,61.2,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000080,W-000003,2025-03-15,58.6,59.0,63.3,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000081,W-000003,2025-04-15,61.2,69.6,65.3,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000082,W-000003,2025-05-15,57.5,51.9,67.3,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000083,W-000003,2025-06-15,60.9,46.3,69.4,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000084,W-000003,2025-07-15,69.6,64.9,71.4,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
PROG-V2-00000085,W-000003,2025-08-15,67.6,73.5,73.5,ONGOING,IA-S03-01-01,SYNTHETIC_V2,True
