asset_id,work_id,asset_type,asset_register_status,handover_status,public_use_status,audit_status,source_type,synthetic_demo_data
ASSET-V2-0000001,W-000009,Health,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000002,W-000011,Education,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000003,W-000012,Roads,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000004,W-000013,Others,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000005,W-000014,Community Infrastructure,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000006,W-000015,Health,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000007,W-000016,Drinking Water,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000008,W-000017,Drinking Water,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000009,W-000018,Education,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000010,W-000019,Roads,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000011,W-000029,Drinking Water,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000012,W-000030,Education,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000013,W-000031,Roads,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000014,W-000032,Others,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000015,W-000033,Community Infrastructure,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000016,W-000034,Community Infrastructure,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000017,W-000035,Health,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000018,W-000036,Drinking Water,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000019,W-000037,Education,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000020,W-000038,Roads,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000021,W-000049,Education,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000022,W-000050,Roads,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000023,W-000052,Others,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000024,W-000053,Community Infrastructure,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000025,W-000054,Health,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000026,W-000055,Drinking Water,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000027,W-000056,Education,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000028,W-000057,Roads,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000029,W-000058,Others,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000030,W-000059,Community Infrastructure,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000031,W-000069,Education,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000032,W-000070,Roads,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000033,W-000072,Community Infrastructure,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000034,W-000073,Health,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000035,W-000074,Drinking Water,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000036,W-000075,Education,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000037,W-000076,Roads,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000038,W-000077,Others,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000039,W-000078,Community Infrastructure,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000040,W-000079,Health,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
ASSET-V2-0000041,W-000089,Roads,RECORDED,RECORDED,RECORDED,VERIFIED,SYNTHETIC_V2,True
