record_id,work_id,record_type,status,record_date,evidence_id,source,applicable_lifecycle,expected_date,verification_status,notes,synthetic_demo_data
REC-V2-00000001,W-000002,PAYMENT_RELEASE,RECORDED,2023-07-15,PAY-V2-0000001,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000002,W-000002,PAYMENT_RELEASE,RECORDED,2024-04-28,PAY-V2-0000002,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000003,W-000002,PAYMENT_RELEASE,RECORDED,2025-02-13,PAY-V2-0000003,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000004,W-000002,PAYMENT_RELEASE,RECORDED,2025-11-30,PAY-V2-0000004,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000005,W-000002,PROGRESS_REPORT,RECORDED,2026-09-05,PROG-V2-00000049,SYNTHETIC_PROGRESS_HISTORY,EXECUTION|COMPLETION,,AGENCY_SUBMITTED,Latest synthetic progress record,True
REC-V2-00000006,W-000002,SANCTION_RECORD,RECORDED,2022-07-13,SAN-W-000002,SYNTHETIC_SANCTION_REGISTER,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic sanction record,True
REC-V2-00000007,W-000003,PAYMENT_RELEASE,RECORDED,2024-01-21,PAY-V2-0000005,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000008,W-000003,PAYMENT_RELEASE,RECORDED,2025-05-21,PAY-V2-0000006,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000009,W-000003,PROGRESS_REPORT,RECORDED,2026-09-05,PROG-V2-00000098,SYNTHETIC_PROGRESS_HISTORY,EXECUTION|COMPLETION,,AGENCY_SUBMITTED,Latest synthetic progress record,True
REC-V2-00000010,W-000003,SANCTION_RECORD,RECORDED,2022-08-03,SAN-W-000003,SYNTHETIC_SANCTION_REGISTER,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic sanction record,True
REC-V2-00000011,W-000004,PAYMENT_RELEASE,RECORDED,2023-10-28,PAY-V2-0000007,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000012,W-000004,PAYMENT_RELEASE,RECORDED,2024-10-14,PAY-V2-0000008,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000013,W-000004,PAYMENT_RELEASE,RECORDED,2025-09-25,PAY-V2-0000009,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000014,W-000004,PROGRESS_REPORT,RECORDED,2026-09-05,PROG-V2-00000145,SYNTHETIC_PROGRESS_HISTORY,EXECUTION|COMPLETION,,AGENCY_SUBMITTED,Latest synthetic progress record,True
REC-V2-00000015,W-000004,SANCTION_RECORD,RECORDED,2022-09-01,SAN-W-000004,SYNTHETIC_SANCTION_REGISTER,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic sanction record,True
REC-V2-00000016,W-000005,PAYMENT_RELEASE,RECORDED,2023-07-26,PAY-V2-0000010,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000017,W-000005,PAYMENT_RELEASE,RECORDED,2024-04-28,PAY-V2-0000011,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000018,W-000005,PAYMENT_RELEASE,RECORDED,2025-02-14,PAY-V2-0000012,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000019,W-000005,PAYMENT_RELEASE,RECORDED,2025-11-25,PAY-V2-0000013,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000020,W-000005,PROGRESS_REPORT,RECORDED,2026-09-05,PROG-V2-00000193,SYNTHETIC_PROGRESS_HISTORY,EXECUTION|COMPLETION,,AGENCY_SUBMITTED,Latest synthetic progress record,True
REC-V2-00000021,W-000005,SANCTION_RECORD,RECORDED,2022-08-03,SAN-W-000005,SYNTHETIC_SANCTION_REGISTER,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic sanction record,True
REC-V2-00000022,W-000006,PAYMENT_RELEASE,RECORDED,2024-01-13,PAY-V2-0000014,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000023,W-000006,PAYMENT_RELEASE,RECORDED,2025-05-12,PAY-V2-0000015,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000024,W-000006,PROGRESS_REPORT,RECORDED,2026-09-05,PROG-V2-00000243,SYNTHETIC_PROGRESS_HISTORY,EXECUTION|COMPLETION,,AGENCY_SUBMITTED,Latest synthetic progress record,True
REC-V2-00000025,W-000006,SANCTION_RECORD,RECORDED,2022-07-27,SAN-W-000006,SYNTHETIC_SANCTION_REGISTER,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic sanction record,True
REC-V2-00000026,W-000007,PAYMENT_RELEASE,RECORDED,2023-10-23,PAY-V2-0000016,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000027,W-000007,PAYMENT_RELEASE,RECORDED,2024-10-10,PAY-V2-0000017,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000028,W-000007,PAYMENT_RELEASE,RECORDED,2025-09-27,PAY-V2-0000018,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000029,W-000007,PROGRESS_REPORT,RECORDED,2026-09-05,PROG-V2-00000290,SYNTHETIC_PROGRESS_HISTORY,EXECUTION|COMPLETION,,AGENCY_SUBMITTED,Latest synthetic progress record,True
REC-V2-00000030,W-000007,SANCTION_RECORD,RECORDED,2022-08-25,SAN-W-000007,SYNTHETIC_SANCTION_REGISTER,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic sanction record,True
REC-V2-00000031,W-000008,PAYMENT_RELEASE,RECORDED,2023-09-05,PAY-V2-0000019,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000032,W-000008,PAYMENT_RELEASE,RECORDED,2024-06-08,PAY-V2-0000020,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000033,W-000008,PAYMENT_RELEASE,RECORDED,2025-03-12,PAY-V2-0000021,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000034,W-000008,PAYMENT_RELEASE,RECORDED,2025-12-13,PAY-V2-0000022,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000035,W-000008,PROGRESS_REPORT,RECORDED,2026-09-05,PROG-V2-00000336,SYNTHETIC_PROGRESS_HISTORY,EXECUTION|COMPLETION,,AGENCY_SUBMITTED,Latest synthetic progress record,True
REC-V2-00000036,W-000008,SANCTION_RECORD,RECORDED,2022-09-22,SAN-W-000008,SYNTHETIC_SANCTION_REGISTER,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic sanction record,True
REC-V2-00000037,W-000009,PAYMENT_RELEASE,RECORDED,2022-11-15,PAY-V2-0000023,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000038,W-000009,PAYMENT_RELEASE,RECORDED,2023-01-01,PAY-V2-0000024,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000039,W-000009,PAYMENT_RELEASE,RECORDED,2023-02-19,PAY-V2-0000025,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000040,W-000009,PAYMENT_RELEASE,RECORDED,2023-04-13,PAY-V2-0000026,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000041,W-000009,PAYMENT_RELEASE,RECORDED,2023-05-29,PAY-V2-0000027,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000042,W-000009,PAYMENT_RELEASE,RECORDED,2023-07-17,PAY-V2-0000028,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000043,W-000009,PROGRESS_REPORT,RECORDED,2023-09-01,PROG-V2-00000349,SYNTHETIC_PROGRESS_HISTORY,EXECUTION|COMPLETION,,AGENCY_SUBMITTED,Latest synthetic progress record,True
REC-V2-00000044,W-000009,SANCTION_RECORD,RECORDED,2022-07-30,SAN-W-000009,SYNTHETIC_SANCTION_REGISTER,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic sanction record,True
REC-V2-00000045,W-000009,COMPLETION_CERTIFICATE,RECORDED,2023-09-11,COMP-W-000009,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2023-10-01,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000046,W-000009,UTILIZATION_CERTIFICATE,RECORDED,2023-09-13,UTIL-W-000009,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2023-10-01,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000047,W-000009,HANDOVER_RECORD,RECORDED,2023-09-13,HAND-W-000009,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2023-10-01,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000048,W-000009,PUBLIC_USE_EVIDENCE,RECORDED,2023-09-30,PUBL-W-000009,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2023-10-01,PENDING_VERIFICATION,Synthetic closure evidence; not an official record,True
REC-V2-00000049,W-000009,COMPLETED_WORK_PHOTO,RECORDED,2023-10-19,COMP-W-000009,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2023-10-01,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000050,W-000009,ASSET_REGISTER,RECORDED,2023-10-01,ASSE-W-000009,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2023-10-01,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000051,W-000009,AUDIT_RECORD,RECORDED,2023-09-22,AUDI-W-000009,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2023-10-01,PENDING_VERIFICATION,Synthetic closure evidence; not an official record,True
REC-V2-00000052,W-000010,PAYMENT_RELEASE,RECORDED,2023-04-05,PAY-V2-0000029,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000053,W-000010,PAYMENT_RELEASE,RECORDED,2023-08-24,PAY-V2-0000030,SYNTHETIC_PFMS_LIKE_HISTORY,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic payment history,True
REC-V2-00000054,W-000010,PROGRESS_REPORT,RECORDED,2024-01-12,PROG-V2-00000364,SYNTHETIC_PROGRESS_HISTORY,EXECUTION|COMPLETION,,AGENCY_SUBMITTED,Latest synthetic progress record,True
REC-V2-00000055,W-000010,SANCTION_RECORD,RECORDED,2022-08-18,SAN-W-000010,SYNTHETIC_SANCTION_REGISTER,EXECUTION|COMPLETION,,SYSTEM_RECORDED,Synthetic sanction record,True
REC-V2-00000056,W-000010,COMPLETION_CERTIFICATE,RECORDED,2024-02-06,COMP-W-000010,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-02-11,DISTRICT_VERIFIED,Synthetic closure evidence; not an official record,True
REC-V2-00000057,W-000010,UTILIZATION_CERTIFICATE,RECORDED,2024-02-03,UTIL-W-000010,SYNTHETIC_CLOSURE_REGISTER,COMPLETION,2024-02-11,PENDING_VERIFICATION,Synthetic closure evidence; not an official record,True
