financial_year,state_name,constituency,mp_id,allocated_amount_inr,sanctioned_amount_inr,released_amount_inr,utilized_amount_inr,source_type,synthetic_demo_data
2024-25,Andhra Pradesh,Andhra Pradesh Demo Constituency 1,MP-S01-01,50000000,411246000,365556000,319411000,SYNTHETIC_V2,True
2025-26,Andhra Pradesh,Andhra Pradesh Demo Constituency 1,MP-S01-01,50000000,456382000,391587000,293576000,SYNTHETIC_V2,True
2026-27,Andhra Pradesh,Andhra Pradesh Demo Constituency 1,MP-S01-01,50000000,501519000,475436000,394950000,SYNTHETIC_V2,True
2024-25,Andhra Pradesh,Andhra Pradesh Demo Constituency 2,MP-S01-02,50000000,419135000,329107000,244546000,SYNTHETIC_V2,True
2025-26,Andhra Pradesh,Andhra Pradesh Demo Constituency 2,MP-S01-02,50000000,465137000,432959000,391225000,SYNTHETIC_V2,True
2026-27,Andhra Pradesh,Andhra Pradesh Demo Constituency 2,MP-S01-02,50000000,511140000,478375000,421457000,SYNTHETIC_V2,True
2024-25,Andhra Pradesh,Andhra Pradesh Demo Constituency 3,MP-S01-03,50000000,417518000,358051000,307256000,SYNTHETIC_V2,True
2025-26,Andhra Pradesh,Andhra Pradesh Demo Constituency 3,MP-S01-03,50000000,463343000,414203000,333150000,SYNTHETIC_V2,True
2026-27,Andhra Pradesh,Andhra Pradesh Demo Constituency 3,MP-S01-03,50000000,509168000,447852000,421925000,SYNTHETIC_V2,True
2024-25,Karnataka,Karnataka Demo Constituency 1,MP-S02-01,50000000,438930000,413713000,356854000,SYNTHETIC_V2,True
2025-26,Karnataka,Karnataka Demo Constituency 1,MP-S02-01,50000000,487105000,416088000,351679000,SYNTHETIC_V2,True
2026-27,Karnataka,Karnataka Demo Constituency 1,MP-S02-01,50000000,535280000,506332000,409807000,SYNTHETIC_V2,True
2024-25,Karnataka,Karnataka Demo Constituency 2,MP-S02-02,50000000,413440000,386622000,309757000,SYNTHETIC_V2,True
2025-26,Karnataka,Karnataka Demo Constituency 2,MP-S02-02,50000000,458818000,380644000,292398000,SYNTHETIC_V2,True
2026-27,Karnataka,Karnataka Demo Constituency 2,MP-S02-02,50000000,504196000,395645000,345115000,SYNTHETIC_V2,True
2024-25,Karnataka,Karnataka Demo Constituency 3,MP-S02-03,50000000,444280000,352833000,333789000,SYNTHETIC_V2,True
2025-26,Karnataka,Karnataka Demo Constituency 3,MP-S02-03,50000000,493043000,394444000,362283000,SYNTHETIC_V2,True
2026-27,Karnataka,Karnataka Demo Constituency 3,MP-S02-03,50000000,541805000,475316000,373175000,SYNTHETIC_V2,True
2024-25,Maharashtra,Maharashtra Demo Constituency 1,MP-S03-01,50000000,424026000,347104000,309292000,SYNTHETIC_V2,True
2025-26,Maharashtra,Maharashtra Demo Constituency 1,MP-S03-01,50000000,470565000,408455000,327934000,SYNTHETIC_V2,True
2026-27,Maharashtra,Maharashtra Demo Constituency 1,MP-S03-01,50000000,517104000,483478000,453010000,SYNTHETIC_V2,True
2024-25,Maharashtra,Maharashtra Demo Constituency 2,MP-S03-02,50000000,457933000,358671000,284791000,SYNTHETIC_V2,True
2025-26,Maharashtra,Maharashtra Demo Constituency 2,MP-S03-02,50000000,508194000,443577000,353307000,SYNTHETIC_V2,True
2026-27,Maharashtra,Maharashtra Demo Constituency 2,MP-S03-02,50000000,558455000,452879000,350167000,SYNTHETIC_V2,True
2024-25,Maharashtra,Maharashtra Demo Constituency 3,MP-S03-03,50000000,417415000,395774000,342372000,SYNTHETIC_V2,True
2025-26,Maharashtra,Maharashtra Demo Constituency 3,MP-S03-03,50000000,463229000,394811000,286612000,SYNTHETIC_V2,True
2026-27,Maharashtra,Maharashtra Demo Constituency 3,MP-S03-03,50000000,509043000,442442000,385342000,SYNTHETIC_V2,True
2024-25,Odisha,Odisha Demo Constituency 1,MP-S04-01,50000000,426043000,356774000,314117000,SYNTHETIC_V2,True
2025-26,Odisha,Odisha Demo Constituency 1,MP-S04-01,50000000,472804000,445748000,401741000,SYNTHETIC_V2,True
2026-27,Odisha,Odisha Demo Constituency 1,MP-S04-01,50000000,519565000,426473000,333097000,SYNTHETIC_V2,True
2024-25,Odisha,Odisha Demo Constituency 2,MP-S04-02,50000000,393709000,348414000,324234000,SYNTHETIC_V2,True
2025-26,Odisha,Odisha Demo Constituency 2,MP-S04-02,50000000,436921000,374268000,304518000,SYNTHETIC_V2,True
2026-27,Odisha,Odisha Demo Constituency 2,MP-S04-02,50000000,480133000,444529000,379048000,SYNTHETIC_V2,True
2024-25,Odisha,Odisha Demo Constituency 3,MP-S04-03,50000000,418140000,358328000,318118000,SYNTHETIC_V2,True
2025-26,Odisha,Odisha Demo Constituency 3,MP-S04-03,50000000,464034000,373861000,281423000,SYNTHETIC_V2,True
