work_id_a,work_id_b,semantic_similarity_0_1,amount_similarity_0_1,location_distance_metres,same_sector,same_district,review_candidate,candidate_language
W-000369,W-002601,0.9986720085144043,1.0,1349.9904473702477,True,False,True,Duplicate Work Candidate
W-000707,W-000708,0.9920154809951782,1.0,0.0,True,True,True,Duplicate Work Candidate
W-001937,W-001938,0.9221112132072449,1.0,0.0,True,True,True,Duplicate Work Candidate
W-000001,W-001231,1.0,,31375.05139720175,True,False,False,Near-neighbour context only
W-000001,W-002461,1.0,,34626.05104807514,True,False,False,Near-neighbour context only
W-000002,W-001232,1.0,0.7798988842398884,31504.14976470187,True,False,False,Near-neighbour context only
W-000002,W-002462,1.0,0.15960599721059973,35319.00624751522,True,False,False,Near-neighbour context only
W-000004,W-001234,1.0,0.3019742489270386,31386.52386237706,True,False,False,Near-neighbour context only
W-000004,W-002464,1.0,0.5546781115879829,35201.524732981714,True,False,False,Near-neighbour context only
W-000005,W-001235,1.0,0.6779396462018731,29841.905686873826,True,False,False,Near-neighbour context only
W-000009,W-001239,1.0,0.89275,30621.32258137432,True,False,False,Near-neighbour context only
W-000017,W-002477,1.0,0.25360805165210787,14614.846706187715,True,False,False,Near-neighbour context only
W-000017,W-001247,1.0,0.6950246866691986,25624.428528073673,True,True,False,Near-neighbour context only
W-000018,W-002478,1.0,0.2912125340599455,15712.215493766384,True,False,False,Near-neighbour context only
W-000018,W-001248,1.0,0.5796151226158038,26063.573783713462,True,True,False,Near-neighbour context only
W-000019,W-002479,1.0,0.7238471673254282,15773.226452950421,True,False,False,Near-neighbour context only
W-000019,W-001249,1.0,0.8801054018445322,26475.158380169207,True,False,False,Near-neighbour context only
W-000020,W-001250,1.0,,26157.652408835147,True,False,False,Near-neighbour context only
W-000021,W-002481,1.0,,26166.035666360494,True,False,False,Near-neighbour context only
W-000022,W-001252,1.0,0.5839948508903668,26115.45322657246,True,False,False,Near-neighbour context only
W-000026,W-001256,1.0,0.7682414363937349,26376.35087184482,True,False,False,Near-neighbour context only
W-000027,W-001257,1.0,0.20587575689616505,25966.913711926445,True,False,False,Near-neighbour context only
W-000035,W-001265,1.0,0.9717777777777777,29622.055293677982,True,True,False,Near-neighbour context only
W-000035,W-002495,1.0,0.4350810864590588,15151.808182990579,True,False,False,Near-neighbour context only
W-000037,W-001267,1.0,0.36667244968771684,31199.79636735754,True,False,False,Near-neighbour context only
W-000038,W-001268,1.0,0.8868044920877999,31348.052852901874,True,False,False,Near-neighbour context only
W-000043,W-001273,1.0,0.8085222319093287,20453.043484631347,True,False,False,Near-neighbour context only
W-000051,W-001281,1.0,1.0,26075.651229828487,True,True,False,Near-neighbour context only
W-000052,W-001282,1.0,0.6648473034437947,25562.052736234335,True,True,False,Near-neighbour context only
