work_id,monthly_evidence_status,completion_evidence_status,latest_evidence_id,latest_capture_timestamp,location_status,distance_from_registered_metres,late_evidence_count,missing_monthly_site_evidence,geo_warning_only
W-000001,NOT_APPLICABLE,NOT_APPLICABLE,,,COMPARISON_UNAVAILABLE,,0,False,True
W-000002,RECORDED,NOT_APPLICABLE,GEO-V2-00000008,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,67.12007758332663,0,False,True
W-000003,RECORDED,NOT_APPLICABLE,GEO-V2-00000016,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,167.9426549536818,0,False,True
W-000004,RECORDED,NOT_APPLICABLE,GEO-V2-00000024,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,152.3829064649311,0,False,True
W-000005,RECORDED,NOT_APPLICABLE,GEO-V2-00000032,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,124.59844493979885,0,False,True
W-000006,RECORDED,NOT_APPLICABLE,GEO-V2-00000040,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,143.9411785945941,0,False,True
W-000007,RECORDED,NOT_APPLICABLE,GEO-V2-00000048,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,163.67065671722992,0,False,True
W-000008,RECORDED,NOT_APPLICABLE,GEO-V2-00000056,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,153.18418136939158,0,False,True
W-000009,NOT_APPLICABLE,RECORDED,GEO-V2-00000058,2023-09-02T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000010,NOT_APPLICABLE,RECORDED,GEO-V2-00000060,2024-01-13T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000011,NOT_APPLICABLE,RECORDED,GEO-V2-00000062,2023-06-27T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000012,NOT_APPLICABLE,RECORDED,GEO-V2-00000064,2024-07-09T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000013,NOT_APPLICABLE,RECORDED,GEO-V2-00000066,2024-06-12T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000014,NOT_APPLICABLE,RECORDED,GEO-V2-00000068,2024-08-01T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000015,NOT_APPLICABLE,RECORDED,GEO-V2-00000070,2024-06-14T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000016,NOT_APPLICABLE,RECORDED,GEO-V2-00000072,2023-08-21T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000017,NOT_APPLICABLE,RECORDED,GEO-V2-00000074,2023-11-21T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000018,NOT_APPLICABLE,RECORDED,GEO-V2-00000076,2024-07-31T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000019,NOT_APPLICABLE,RECORDED,GEO-V2-00000078,2024-04-19T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000020,NOT_APPLICABLE,NOT_APPLICABLE,,,COMPARISON_UNAVAILABLE,,0,False,True
W-000021,NOT_APPLICABLE,NOT_APPLICABLE,,,COMPARISON_UNAVAILABLE,,0,False,True
W-000022,RECORDED,NOT_APPLICABLE,GEO-V2-00000086,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,119.39694131032559,0,False,True
W-000023,RECORDED,NOT_APPLICABLE,GEO-V2-00000094,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,129.19485680010104,0,False,True
W-000024,RECORDED,NOT_APPLICABLE,GEO-V2-00000102,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,26.21090787216302,0,False,True
W-000025,RECORDED,NOT_APPLICABLE,GEO-V2-00000110,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,82.75837885586874,0,False,True
W-000026,RECORDED,NOT_APPLICABLE,GEO-V2-00000118,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,145.1503169947308,0,False,True
W-000027,RECORDED,NOT_APPLICABLE,GEO-V2-00000126,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,208.80241249844119,0,False,True
W-000028,RECORDED,NOT_APPLICABLE,GEO-V2-00000134,2026-09-03T09:18:00+05:30,LOCATION_CONSISTENT,119.63617879568629,0,False,True
W-000029,NOT_APPLICABLE,RECORDED,GEO-V2-00000136,2024-10-08T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000030,NOT_APPLICABLE,RECORDED,GEO-V2-00000138,2024-11-19T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000031,NOT_APPLICABLE,RECORDED,GEO-V2-00000140,2024-07-09T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000032,NOT_APPLICABLE,RECORDED,GEO-V2-00000142,2024-01-15T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000033,NOT_APPLICABLE,RECORDED,GEO-V2-00000144,2024-03-28T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000034,NOT_APPLICABLE,RECORDED,GEO-V2-00000146,2024-03-15T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000035,NOT_APPLICABLE,RECORDED,GEO-V2-00000148,2025-02-05T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
W-000036,NOT_APPLICABLE,RECORDED,GEO-V2-00000150,2024-03-03T11:10:00+05:30,LOCATION_CONSISTENT,0.0,0,False,True
