work_id,snapshot_date,technical_estimate_amount_inr,sanctioned_amount_inr,estimate_to_sanction_ratio,planned_duration_days,schedule_elapsed_ratio,released_to_sanction_ratio,expenditure_to_sanction_ratio,physical_progress_pct,financial_progress_pct,financial_physical_gap_pct,progress_velocity_pct_per_30d,payment_count,sanction_revision_count,payment_chronology_flag,sector,cost_overrun_target
W-000009,2023-01-31,7925000.0,7142000.0,1.1096331559787174,224,0.5982142857142857,0.3227387286474377,0.3227387286474377,39.8,44.6,4.800000000000004,7.161290322580643,2,0.0,0,Health,0
W-000010,2023-05-22,3366000.0,3226000.0,1.0433973961562306,335,0.6,0.5570365778053317,0.5570365778053317,45.3,49.2,3.9000000000000057,2.0999999999999943,1,0.0,0,Drinking Water,1
W-000011,2023-03-08,7575000.0,6992000.0,1.0833810068649885,213,0.596244131455399,0.5141590389016019,0.5141590389016019,51.0,57.5,6.5,9.774193548387098,2,0.0,0,Education,0
W-000012,2023-09-13,5068000.0,4856000.0,1.043657331136738,398,0.5979899497487438,0.7462932454695222,0.7462932454695222,38.8,44.2,5.400000000000006,1.354838709677418,2,0.0,0,Roads,1
W-000013,2023-10-10,5237000.0,5107000.0,1.02545525748972,436,0.5986238532110092,0.6203250440571765,0.6203250440571765,50.9,49.0,-1.8999999999999986,6.677419354838708,3,0.0,0,Others,0
W-000014,2023-11-15,10180000.0,10146000.0,1.003351074315001,433,0.5981524249422633,0.6513897102306327,0.6513897102306327,52.4,57.5,5.100000000000001,5.5161290322580605,3,0.0,0,Community Infrastructure,1
W-000015,2023-09-15,4836000.0,4812000.0,1.0049875311720697,455,0.6,0.43370739817123855,0.43370739817123855,51.2,57.9,6.699999999999996,3.193548387096778,1,0.0,0,Health,0
W-000016,2023-05-19,791000.0,807000.0,0.9801734820322181,162,0.5987654320987654,0.3680297397769517,0.3680297397769517,57.5,48.5,-9.0,17.5,1,0.0,0,Drinking Water,0
W-000017,2023-05-01,10950000.0,10532000.0,1.0396885681731864,154,0.5974025974025974,0.24620205089251804,0.24620205089251804,38.6,38.1,-0.5,13.35483870967742,1,0.0,0,Drinking Water,0
W-000018,2023-10-21,11496000.0,11744000.0,0.978882833787466,363,0.5977961432506887,0.19635558583106266,0.19635558583106266,45.6,47.4,1.7999999999999972,1.8999999999999986,2,0.0,0,Education,0
W-000019,2023-10-01,7341000.0,7590000.0,0.967193675889328,435,0.6,0.5247694334650856,0.5247694334650856,57.4,67.6,10.199999999999996,4.0645161290322545,3,0.0,0,Roads,0
W-000029,2024-02-02,5361000.0,5215000.0,1.0279961649089167,415,0.6,0.7591562799616491,0.7591562799616491,50.5,41.0,-9.5,7.258064516129032,3,1.0,0,Drinking Water,1
W-000030,2024-04-03,7700000.0,7933000.0,0.9706290180259675,475,0.6,0.46350687003655616,0.46350687003655616,55.2,48.6,-6.600000000000001,4.241379310344829,1,0.0,0,Education,0
W-000031,2024-01-24,9044000.0,9289000.0,0.9736247174076865,265,0.6,0.358811497470126,0.358811497470126,50.7,30.9,-19.800000000000004,9.096774193548391,1,0.0,0,Roads,0
W-000032,2023-10-22,773000.0,700000.0,1.1042857142857143,210,0.6,0.51,0.51,63.5,71.4,7.900000000000006,16.1,2,0.0,0,Others,1
