work_id,split
W-003037,TRAIN
W-002029,TRAIN
W-000151,TRAIN
W-000974,TRAIN
W-000369,TRAIN
W-002256,TRAIN
W-003434,TRAIN
W-002879,TRAIN
W-002212,TRAIN
W-001595,TRAIN
W-002410,TRAIN
W-004315,TRAIN
W-002197,TRAIN
W-003073,TRAIN
W-002053,TRAIN
W-001434,TRAIN
W-000029,TRAIN
W-003039,TRAIN
W-000437,TRAIN
W-003378,TRAIN
W-003438,TRAIN
W-000699,TRAIN
W-000250,TRAIN
W-002277,TRAIN
W-003432,TRAIN
W-003414,TRAIN
W-004339,TRAIN
W-001494,TRAIN
W-002292,TRAIN
W-001089,TRAIN
W-002154,TRAIN
W-001996,TRAIN
W-003479,TRAIN
W-003433,TRAIN
W-000799,TRAIN
W-001358,TRAIN
W-002895,TRAIN
W-002697,TRAIN
W-001529,TRAIN
W-003391,TRAIN
W-003855,TRAIN
W-002752,TRAIN
W-003076,TRAIN
W-003271,TRAIN
W-004810,TRAIN
W-004472,TRAIN
W-004577,TRAIN
W-004271,TRAIN
W-000209,TRAIN
W-003899,TRAIN
W-001369,TRAIN
W-002933,TRAIN
W-004957,TRAIN
W-003476,TRAIN
W-001652,TRAIN
W-003290,TRAIN
W-000356,TRAIN
W-004170,TRAIN
W-004496,TRAIN
W-000711,TRAIN
W-002129,TRAIN
W-001730,TRAIN
W-003317,TRAIN
W-003132,TRAIN
W-003038,TRAIN
W-002098,TRAIN
W-004319,TRAIN
W-003575,TRAIN
W-003893,TRAIN
W-004292,TRAIN
W-002193,TRAIN
W-001091,TRAIN
W-003396,TRAIN
W-004675,TRAIN
W-003813,TRAIN
W-004114,TRAIN
W-004510,TRAIN
W-003999,TRAIN
W-001914,TRAIN
W-002817,TRAIN
W-004075,TRAIN
W-003734,TRAIN
W-000518,TRAIN
W-001557,TRAIN
W-004409,TRAIN
W-001114,TRAIN
W-000412,TRAIN
W-002653,TRAIN
W-004156,TRAIN
W-004716,TRAIN
W-004890,TRAIN
W-002290,TRAIN
W-001950,TRAIN
W-004091,TRAIN
W-004334,TRAIN
W-004050,TRAIN
W-000197,TRAIN
W-000277,TRAIN
W-003035,TRAIN
W-004130,TRAIN
W-003990,TRAIN
W-001539,TRAIN
W-000336,TRAIN
W-003077,TRAIN
W-002898,TRAIN
W-000339,TRAIN
W-000176,TRAIN
W-000815,TRAIN
W-002431,TRAIN
W-004029,TRAIN
W-004095,TRAIN
W-001016,TRAIN
W-002451,TRAIN
W-000952,TRAIN
W-000531,TRAIN
W-001011,TRAIN
W-004352,TRAIN
W-003471,TRAIN
W-000779,TRAIN
W-003913,TRAIN
W-002276,TRAIN
W-002278,TRAIN
W-003758,TRAIN
W-003576,TRAIN
W-004431,TRAIN
W-002498,TRAIN
W-002050,TRAIN
W-003413,TRAIN
W-000471,TRAIN
W-000656,TRAIN
W-004953,TRAIN
W-002711,TRAIN
W-000833,TRAIN
W-003130,TRAIN
W-000858,TRAIN
W-004813,TRAIN
W-003514,TRAIN
W-001415,TRAIN
W-002937,TRAIN
W-000238,TRAIN
W-004494,TRAIN
W-004096,TRAIN
W-001877,TRAIN
W-003495,TRAIN
W-004954,TRAIN
W-004139,TRAIN
W-001838,TRAIN
W-000353,TRAIN
W-004215,TRAIN
W-000870,TRAIN
W-003991,TRAIN
W-001735,TRAIN
W-002472,TRAIN
W-000834,TRAIN
W-004559,TRAIN
W-003394,TRAIN
W-003311,TRAIN
W-001319,TRAIN
W-001616,TRAIN
W-001039,TRAIN
W-004377,TRAIN
W-000316,TRAIN
W-004371,TRAIN
W-003310,TRAIN
W-003355,TRAIN
W-002077,TRAIN
W-002513,TRAIN
W-000877,TRAIN
W-004875,TRAIN
W-001969,TRAIN
W-001214,TRAIN
W-002919,TRAIN
W-004035,TRAIN
W-002713,TRAIN
W-003049,TRAIN
W-001974,TRAIN
W-000792,TRAIN
W-001631,TRAIN
W-003398,TRAIN
W-002411,TRAIN
W-003770,TRAIN
W-004030,TRAIN
W-003170,TRAIN
W-002199,TRAIN
W-003559,TRAIN
W-000851,TRAIN
W-000131,TRAIN
W-004972,TRAIN
W-004097,TRAIN
W-000435,TRAIN
W-000772,TRAIN
W-004290,TRAIN
W-002614,TRAIN
W-003535,TRAIN
W-003510,TRAIN
W-004714,TRAIN
W-004753,TRAIN
W-000891,TRAIN
W-001537,TRAIN
W-001179,TRAIN
W-002030,TRAIN
W-000373,TRAIN
W-003918,TRAIN
W-001309,TRAIN
W-003809,TRAIN
W-003870,TRAIN
W-002469,TRAIN
W-003252,TRAIN
W-004012,TRAIN
W-003974,TRAIN
W-004615,TRAIN
W-000930,TRAIN
W-003014,TRAIN
W-002536,TRAIN
W-001738,TRAIN
W-000897,TRAIN
W-002075,TRAIN
W-004854,TRAIN
W-000495,TRAIN
W-004250,TRAIN
W-003093,TRAIN
W-001590,TRAIN
W-003917,TRAIN
W-001216,TRAIN
W-000169,TRAIN
W-003996,TRAIN
W-001857,TRAIN
W-003133,TRAIN
W-004092,TRAIN
W-001698,TRAIN
W-003655,TRAIN
W-001158,TRAIN
W-001634,TRAIN
W-000513,TRAIN
W-000154,TRAIN
W-002657,TRAIN
W-000235,TRAIN
W-001754,TRAIN
W-001235,TRAIN
W-003674,TRAIN
W-001553,TRAIN
W-001249,TRAIN
W-001551,TRAIN
W-001316,TRAIN
W-003196,TRAIN
W-004575,TRAIN
W-003875,TRAIN
W-000516,TRAIN
W-004297,TRAIN
W-003176,TRAIN
W-004378,TRAIN
W-000529,TRAIN
W-002215,TRAIN
W-004477,TRAIN
W-000553,TRAIN
W-004235,TRAIN
W-001919,TRAIN
W-003439,TRAIN
W-004350,TRAIN
W-003779,TRAIN
W-001359,TRAIN
W-004618,TRAIN
W-001111,TRAIN
W-003638,TRAIN
W-002936,TRAIN
W-000170,TRAIN
W-001112,TRAIN
W-004111,TRAIN
W-002159,TRAIN
W-000574,TRAIN
W-002857,TRAIN
W-003029,TRAIN
W-003456,TRAIN
W-002734,TRAIN
W-003257,TRAIN
W-004171,TRAIN
W-003409,TRAIN
W-002373,TRAIN
W-003011,TRAIN
W-003692,TRAIN
W-001289,TRAIN
W-000439,TRAIN
W-003336,TRAIN
W-002739,TRAIN
W-002579,TRAIN
W-000416,TRAIN
W-001051,TRAIN
W-003114,TRAIN
W-003099,TRAIN
W-001717,TRAIN
W-004358,TRAIN
W-002013,TRAIN
W-002611,TRAIN
W-000654,TRAIN
W-004696,TRAIN
W-002876,TRAIN
W-002689,TRAIN
W-003137,TRAIN
W-000132,TRAIN
W-000474,TRAIN
W-004553,TRAIN
W-003533,TRAIN
W-004657,TRAIN
W-003795,TRAIN
W-001518,TRAIN
W-000249,TRAIN
W-000374,TRAIN
W-000510,TRAIN
W-004710,TRAIN
W-001836,TRAIN
W-003474,TRAIN
W-000958,TRAIN
W-000411,TRAIN
W-000015,TRAIN
W-004232,TRAIN
W-000914,TRAIN
W-003519,TRAIN
W-004376,TRAIN
W-001134,TRAIN
W-003216,TRAIN
W-002959,TRAIN
W-003279,TRAIN
W-000011,TRAIN
W-001453,TRAIN
W-000853,TRAIN
W-004257,TRAIN
W-003036,TRAIN
W-003677,TRAIN
W-000390,TRAIN
W-003094,TRAIN
W-004438,TRAIN
W-003938,TRAIN
W-003175,TRAIN
W-004336,TRAIN
W-002353,TRAIN
W-004077,TRAIN
W-001554,TRAIN
W-002955,TRAIN
W-001791,TRAIN
W-000458,TRAIN
W-000219,TRAIN
W-001632,TRAIN
W-001057,TRAIN
W-004175,TRAIN
W-003715,TRAIN
W-002813,TRAIN
W-002091,TRAIN
W-001414,TRAIN
W-004871,TRAIN
W-004658,TRAIN
W-000673,TRAIN
W-002213,TRAIN
W-001017,TRAIN
W-002869,TRAIN
W-002355,TRAIN
W-003994,TRAIN
W-000796,TRAIN
W-000691,TRAIN
W-003834,TRAIN
W-003053,TRAIN
W-004419,TRAIN
W-000719,TRAIN
W-004291,TRAIN
W-004533,TRAIN
W-000695,TRAIN
W-003992,TRAIN
W-004259,TRAIN
W-004976,TRAIN
W-002394,TRAIN
W-004732,TRAIN
W-000572,TRAIN
W-004777,TRAIN
W-003191,TRAIN
W-003735,TRAIN
W-004736,TRAIN
W-004218,TRAIN
W-001357,TRAIN
W-000455,TRAIN
W-003651,TRAIN
W-003973,TRAIN
W-003574,TRAIN
W-002052,TRAIN
W-002309,TRAIN
