work_id,lifecycle_stage,review_priority_score_0_100,review_priority_band,requires_review,geo_warning_contribution_points,policy_version
W-000001,PRE_SANCTION,8.915663,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000002,EXECUTION,16.784291,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000003,EXECUTION,34.267684,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000004,EXECUTION,39.092217,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000005,EXECUTION,5.531632,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000006,EXECUTION,9.855008,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000007,EXECUTION,7.477227,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000008,EXECUTION,30.285779,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000009,COMPLETION,6.264232,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000010,COMPLETION,69.786394,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000011,COMPLETION,17.014717,LOW,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000012,COMPLETION,52.087781,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000013,COMPLETION,3.467489,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000014,COMPLETION,58.437975,HIGH,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000015,COMPLETION,4.563122,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000016,COMPLETION,9.952373,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000017,COMPLETION,1.290254,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000018,COMPLETION,9.155325,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000019,COMPLETION,3.596205,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000020,PRE_SANCTION,25.903614,MEDIUM,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000021,PRE_SANCTION,15.662651,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000022,EXECUTION,27.884645,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000023,EXECUTION,36.350209,MEDIUM,True,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000024,EXECUTION,23.525284,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
W-000025,EXECUTION,9.143746,LOW,False,0,REVIEW_PRIORITY_POLICY_V0_1_DEMO_V2
