work_id,lifecycle_stage,iforest_score_samples_raw,iforest_unusualness_score,within_stage_anomaly_percentile_0_100,within_stage_rank,stage_population,peer_outlier_count,max_abs_peer_deviation,top_peer_deviation_metric
W-000001,COMPLETION,-0.5521459703440296,0.5521459703440296,96.99170124481327,59,1929,0,2.446030475510447,physical_progress_velocity_pct_per_30d
W-000002,COMPLETION,-0.4173309180554739,0.4173309180554739,25.985477178423235,1428,1929,0,1.473523076923082,latest_financial_progress_pct_as_of
W-000003,COMPLETION,-0.39981741748091987,0.39981741748091987,6.172199170124482,1810,1929,0,1.4514071279777803,financial_overrun_pct_as_of
W-000004,COMPLETION,-0.40780022845240665,0.40780022845240665,13.692946058091286,1665,1929,0,0.8466803463855421,released_payment_total_inr_as_of
W-000005,EXECUTION,-0.4410270347608299,0.4410270347608299,52.375,382,801,3,6.074031413612565,overdue_days_as_of
W-000006,COMPLETION,-0.43117453929753513,0.43117453929753513,47.095435684647306,1021,1929,0,1.3357344954355408,largest_payment_share_as_of
W-000007,COMPLETION,-0.4130325478951053,0.4130325478951053,20.59128630705394,1532,1929,0,2.6337810846892857,largest_payment_share_as_of
W-000008,EXECUTION,-0.4108853113664631,0.4108853113664631,19.0,649,801,0,1.7717844202898552,recommended_amount_inr
W-000009,COMPLETION,-0.5444970438530241,0.5444970438530241,96.57676348547717,67,1929,1,5.080985579622902,physical_progress_velocity_pct_per_30d
W-000010,COMPLETION,-0.4236539801708293,0.4236539801708293,36.20331950207469,1231,1929,0,1.2798240216103267,expenditure_to_sanction_pct_as_of
W-000011,COMPLETION,-0.4140354076516981,0.4140354076516981,21.939834024896264,1506,1929,0,1.9805604840070212,expenditure_to_sanction_pct_as_of
W-000012,EXECUTION,-0.4054781456650657,0.4054781456650657,12.375,702,801,0,1.8885999999999996,financial_minus_physical_gap_pct_as_of
W-000013,EXECUTION,-0.4290704826960945,0.4290704826960945,41.25,471,801,2,148.38999999999993,max_physical_progress_drop_pct_as_of
W-000014,COMPLETION,-0.38885052270562104,0.38885052270562104,0.7780082987551867,1914,1929,0,0.8791046367724487,estimate_to_recommended_ratio
W-000015,EXECUTION,-0.4364158188038665,0.4364158188038665,47.5,421,801,2,9.583295999999999,overdue_days_as_of
W-000016,EXECUTION,-0.40273857689053516,0.40273857689053516,8.25,735,801,0,1.6592700000000016,financial_minus_physical_gap_pct_as_of
W-000017,EXECUTION,-0.4400062505700509,0.4400062505700509,51.25,391,801,0,2.770638461538462,expected_minus_physical_gap_pct_as_of
W-000018,COMPLETION,-0.4310611286871964,0.4310611286871964,46.939834024896264,1024,1929,1,7.032450331054264,financial_overrun_pct_as_of
W-000019,COMPLETION,-0.46234744024480057,0.46234744024480057,77.02282157676349,444,1929,1,6.507025220004866,largest_payment_share_as_of
W-000020,COMPLETION,-0.39834090105484654,0.39834090105484654,4.875518672199171,1835,1929,0,2.885651225038695,expenditure_to_sanction_pct_as_of
W-000021,COMPLETION,-0.47373390064302806,0.47373390064302806,83.45435684647303,320,1929,0,1.2479631546584922,schedule_elapsed_ratio_as_of
W-000022,COMPLETION,-0.4211539061853383,0.4211539061853383,32.31327800829875,1306,1929,0,1.7734687341045734,largest_payment_share_as_of
