work_id,rules_evaluated_count,rules_passed_count,rules_review_count,rules_non_compliant_count,rules_insufficient_data_count,rules_not_applicable_count,highest_compliance_evidence_severity,top_compliance_rule_id
W-000001,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000002,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000003,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000004,7,3,4,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000005,3,3,0,0,0,5,NONE,
W-000006,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000007,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000008,3,2,1,0,0,5,WARNING,MPLADS-3.2.12-COMPLETION-LIMIT
W-000009,7,3,4,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000010,7,3,4,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000011,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000012,3,3,0,0,0,5,NONE,
W-000013,3,2,1,0,0,5,WARNING,MPLADS-3.2.12-COMPLETION-LIMIT
W-000014,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000015,3,3,0,0,0,5,NONE,
W-000016,3,2,1,0,0,5,WARNING,MPLADS-3.2.12-COMPLETION-LIMIT
W-000017,3,3,0,0,0,5,NONE,
W-000018,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000019,7,3,4,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000020,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000021,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000022,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000023,3,3,0,0,0,5,NONE,
W-000024,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000025,7,3,4,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000026,3,3,0,0,0,5,NONE,
W-000027,3,2,1,0,0,5,WARNING,MPLADS-3.2.4-SANCTION-45D
W-000028,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000029,3,3,0,0,0,5,NONE,
W-000030,0,0,0,0,0,8,NONE,
W-000031,3,2,1,0,0,5,WARNING,MPLADS-3.2.4-SANCTION-45D
W-000032,3,3,0,0,0,5,NONE,
W-000033,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000034,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000035,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000036,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
W-000037,3,3,0,0,0,5,NONE,
W-000038,0,0,0,0,0,8,NONE,
W-000039,3,2,1,0,0,5,WARNING,MPLADS-3.2.12-COMPLETION-LIMIT
W-000040,7,4,3,0,0,1,STRONG_WARNING,MPLADS-11.2-COMPLETION-UC
