work_id,duplicate_candidate_count,best_duplicate_candidate_work_id,best_duplicate_similarity_score_0_100,review_candidate_count,best_review_candidate_work_id,best_review_similarity_score_0_100,review_candidate
W-000001,7,W-000578,91.164266,0,,,False
W-000002,7,W-001279,85.542091,0,,,False
W-000003,9,W-001377,83.199655,0,,,False
W-000004,10,W-001836,88.939563,0,,,False
W-000005,7,W-000480,88.19805,0,,,False
W-000006,6,W-002610,89.944196,0,,,False
W-000007,6,W-002208,89.230877,0,,,False
W-000008,9,W-001683,84.877264,0,,,False
W-000009,8,W-000612,90.779435,0,,,False
W-000010,10,W-000222,86.557376,0,,,False
W-000011,8,W-000158,85.921389,0,,,False
W-000012,8,W-000758,89.044985,0,,,False
W-000013,10,W-001980,89.048459,0,,,False
W-000014,9,W-001010,85.155189,0,,,False
W-000015,12,W-002101,86.898297,0,,,False
W-000016,8,W-002045,83.384419,0,,,False
W-000017,8,W-002262,90.164259,0,,,False
W-000018,12,W-002594,89.184932,0,,,False
W-000019,8,W-002509,89.522474,0,,,False
W-000020,7,W-002027,82.727053,0,,,False
W-000021,8,W-000970,88.436393,0,,,False
W-000022,12,W-002456,88.762713,0,,,False
W-000023,7,W-002543,90.402204,0,,,False
W-000024,10,W-001127,83.332302,0,,,False
W-000025,7,W-000249,83.964898,0,,,False
W-000026,7,W-001093,85.724072,0,,,False
W-000027,6,W-001291,86.327474,0,,,False
W-000028,11,W-002044,90.438232,0,,,False
W-000029,5,W-002132,84.744487,0,,,False
W-000030,4,W-002450,82.352025,0,,,False
W-000031,10,W-002195,87.687549,0,,,False
W-000032,8,W-001613,87.677691,0,,,False
W-000033,9,W-000275,81.244244,0,,,False
W-000034,4,W-001171,83.525541,0,,,False
W-000035,5,W-002208,83.917841,0,,,False
W-000036,8,W-001238,87.333552,0,,,False
W-000037,8,W-002804,88.117798,0,,,False
W-000038,5,W-000867,86.742551,0,,,False
W-000039,5,W-002594,80.921913,0,,,False
W-000040,11,W-002936,85.094373,0,,,False
W-000041,6,W-000470,83.349789,0,,,False
W-000042,10,W-002698,86.100738,0,,,False
W-000043,3,W-002991,81.388415,0,,,False
W-000044,8,W-002311,89.219695,0,,,False
W-000045,10,W-001396,86.375366,0,,,False
W-000046,7,W-002373,89.288228,0,,,False
W-000047,6,W-001639,83.979628,0,,,False
W-000048,8,W-001664,92.935483,0,,,False
W-000049,12,W-001246,91.879293,0,,,False
W-000050,9,W-000377,83.144054,0,,,False
W-000051,7,W-000621,86.442949,0,,,False
W-000052,5,W-001348,89.179597,0,,,False
W-000053,7,W-000115,83.053811,0,,,False
W-000054,8,W-002635,82.711043,0,,,False
W-000055,5,W-002497,84.490426,0,,,False
W-000056,7,W-000306,81.769971,0,,,False
W-000057,5,W-002211,85.435979,0,,,False
W-000058,8,W-000782,88.738434,0,,,False
W-000059,4,W-001857,82.582452,0,,,False
W-000060,5,W-002561,94.419582,0,,,False
W-000061,8,W-002616,84.073197,0,,,False
W-000062,10,W-001162,92.026821,0,,,False
W-000063,10,W-000788,87.304359,0,,,False
W-000064,6,W-002294,83.728452,0,,,False
W-000065,9,W-000761,84.867832,0,,,False
W-000066,9,W-001463,87.352227,0,,,False
W-000067,11,W-001126,83.91526,0,,,False
W-000068,6,W-002639,88.42577,0,,,False
W-000069,4,W-001596,82.183125,0,,,False
W-000070,5,W-001975,86.348283,0,,,False
W-000071,9,W-002183,89.255529,0,,,False
W-000072,14,W-000953,91.875591,0,,,False
W-000073,5,W-001652,80.559696,0,,,False
W-000074,2,W-001636,82.63055,0,,,False
W-000075,9,W-002567,91.526545,0,,,False
W-000076,10,W-002734,87.272038,0,,,False
W-000077,11,W-000366,88.675499,0,,,False
W-000078,10,W-000324,87.756921,0,,,False
W-000079,6,W-001007,85.325568,0,,,False
W-000080,4,W-002401,79.771124,0,,,False
W-000081,15,W-002827,88.848205,0,,,False
W-000082,9,W-001162,80.867641,0,,,False
W-000083,10,W-001875,89.108985,0,,,False
W-000084,9,W-002023,85.079096,0,,,False
W-000085,6,W-000418,81.13321,0,,,False
W-000086,10,W-000849,90.444991,0,,,False
W-000087,9,W-001339,87.290792,0,,,False
W-000088,5,W-001371,89.678226,0,,,False
W-000089,7,W-000677,86.627253,0,,,False
W-000090,6,W-001579,86.474629,0,,,False
W-000091,8,W-001769,80.14973,0,,,False
W-000092,7,W-000964,90.759223,0,,,False
W-000093,12,W-001828,93.236458,0,,,False
W-000094,2,W-000361,81.84487,0,,,False
W-000095,8,W-000697,86.90942,0,,,False
W-000096,11,W-002409,89.821777,0,,,False
W-000097,6,W-002048,86.94662,0,,,False
W-000098,6,W-001437,82.509295,0,,,False
W-000099,5,W-001816,78.724259,0,,,False
W-000100,8,W-001653,86.397241,0,,,False
W-000101,11,W-001539,87.972921,0,,,False
W-000102,10,W-002999,86.402096,0,,,False
W-000103,9,W-002234,85.73789,0,,,False
W-000104,12,W-000332,87.663763,0,,,False
W-000105,7,W-001929,78.910838,0,,,False
W-000106,6,W-001496,88.035762,0,,,False
W-000107,8,W-000234,85.726935,0,,,False
W-000108,7,W-000580,92.203513,0,,,False
W-000109,8,W-001145,86.470348,0,,,False
W-000110,7,W-001623,85.022523,0,,,False
W-000111,4,W-002063,80.998495,0,,,False
W-000112,4,W-001029,78.089962,0,,,False
W-000113,7,W-002759,86.444137,0,,,False
W-000114,7,W-001106,88.719437,0,,,False
W-000115,8,W-002202,86.124117,0,,,False
W-000116,2,W-000252,81.357033,0,,,False
W-000117,6,W-001511,83.812789,0,,,False
W-000118,8,W-000993,83.871052,0,,,False
W-000119,3,W-001330,83.295192,0,,,False
W-000120,11,W-002184,92.293056,0,,,False
W-000121,6,W-000874,87.469193,0,,,False
W-000122,7,W-002065,87.102576,0,,,False
W-000123,10,W-000858,87.559579,0,,,False
W-000124,13,W-002548,87.713902,0,,,False
W-000125,8,W-001549,88.424426,0,,,False
W-000126,6,W-001039,84.885778,0,,,False
W-000127,8,W-002143,84.745139,0,,,False
W-000128,8,W-000318,88.355529,0,,,False
W-000129,6,W-000488,82.918567,0,,,False
W-000130,9,W-002900,86.652841,0,,,False
W-000131,9,W-002880,87.678523,0,,,False
W-000132,8,W-002822,92.396174,0,,,False
W-000133,3,W-000918,77.828405,0,,,False
W-000134,18,W-000223,93.666667,0,,,False
W-000135,13,W-001043,82.641503,0,,,False
W-000136,6,W-000423,93.801774,0,,,False
W-000137,11,W-000176,86.26034,0,,,False
W-000138,4,W-002274,83.956859,0,,,False
W-000139,9,W-002575,84.874038,0,,,False
W-000140,6,W-002393,90.648532,0,,,False
W-000141,12,W-002417,85.570921,0,,,False
W-000142,10,W-001191,88.899558,0,,,False
W-000143,7,W-001689,91.542946,0,,,False
W-000144,14,W-000411,82.286915,0,,,False
W-000145,8,W-002824,83.795426,0,,,False
W-000146,10,W-002033,89.799392,0,,,False
W-000147,5,W-001835,92.836696,0,,,False
W-000148,4,W-001169,85.780066,0,,,False
W-000149,3,W-000831,81.429089,0,,,False
W-000150,10,W-002098,85.784834,0,,,False
W-000151,9,W-000778,90.210013,0,,,False
W-000152,15,W-000989,86.879473,0,,,False
W-000153,9,W-000967,84.096534,0,,,False
W-000154,3,W-000911,84.028118,0,,,False
W-000155,12,W-000827,85.654907,0,,,False
W-000156,6,W-001286,88.201016,0,,,False
W-000157,7,W-001700,88.934408,0,,,False
W-000158,9,W-000011,85.921389,0,,,False
W-000159,12,W-001422,89.832448,0,,,False
W-000160,7,W-000390,86.394214,0,,,False
W-000161,7,W-000545,81.429485,0,,,False
W-000162,7,W-001322,86.297144,0,,,False
W-000163,2,W-000392,79.155194,0,,,False
W-000164,8,W-000671,85.368206,0,,,False
W-000165,8,W-001982,86.91484,0,,,False
W-000166,7,W-001343,86.963291,0,,,False
W-000167,11,W-002413,85.521358,0,,,False
W-000168,7,W-002620,85.49405,0,,,False
W-000169,7,W-002020,86.01629,0,,,False
W-000170,12,W-000574,85.142735,0,,,False
W-000171,7,W-002365,90.670042,0,,,False
W-000172,4,W-000250,82.046154,0,,,False
W-000173,11,W-002961,87.486798,0,,,False
W-000174,12,W-000292,85.229374,0,,,False
W-000175,8,W-000488,86.3598,0,,,False
W-000176,8,W-000137,86.26034,0,,,False
W-000177,12,W-001785,88.915028,0,,,False
W-000178,13,W-000411,83.615299,0,,,False
W-000179,3,W-001588,81.089167,0,,,False
W-000180,6,W-000895,87.799871,0,,,False
W-000181,6,W-002933,88.866798,0,,,False
W-000182,11,W-002915,87.538101,0,,,False
W-000183,12,W-002809,87.670228,0,,,False
W-000184,8,W-000677,83.990317,0,,,False
W-000185,6,W-002760,82.566119,0,,,False
W-000186,6,W-000044,82.348965,0,,,False
W-000187,6,W-000034,83.371592,0,,,False
W-000188,6,W-000681,79.702059,0,,,False
W-000189,6,W-001465,81.903561,0,,,False
W-000190,8,W-002629,85.682912,0,,,False
W-000191,9,W-000368,90.075413,0,,,False
W-000192,10,W-002601,87.161425,0,,,False
W-000193,12,W-001490,90.521226,0,,,False
W-000194,7,W-001393,81.106422,0,,,False
W-000195,8,W-001400,85.29605,0,,,False
W-000196,10,W-000998,89.337113,0,,,False
W-000197,7,W-000350,84.317556,0,,,False
W-000198,6,W-002865,84.848845,0,,,False
W-000199,6,W-002875,82.300716,0,,,False
W-000200,6,W-001455,80.575731,0,,,False
W-000201,11,W-002935,82.68994,0,,,False
W-000202,8,W-000795,85.2815,0,,,False
W-000203,7,W-002953,83.562351,0,,,False
W-000204,8,W-001435,84.667939,0,,,False
W-000205,10,W-000792,89.666025,0,,,False
W-000206,8,W-001539,84.820535,0,,,False
W-000207,6,W-000761,88.874477,0,,,False
W-000208,7,W-001250,87.945294,0,,,False
W-000209,7,W-001241,87.181036,0,,,False
W-000210,5,W-000246,82.498757,0,,,False
W-000211,6,W-001899,83.662497,0,,,False
W-000212,10,W-002274,87.089393,0,,,False
W-000213,7,W-001014,80.684883,0,,,False
W-000214,2,W-001447,78.317588,0,,,False
W-000215,9,W-000841,85.263631,0,,,False
W-000216,7,W-000066,80.178225,0,,,False
W-000217,5,W-000167,79.71465,0,,,False
W-000218,8,W-001975,90.151862,0,,,False
W-000219,7,W-001390,86.741789,0,,,False
W-000220,10,W-002314,85.622469,0,,,False
W-000221,8,W-001745,84.433712,0,,,False
W-000222,11,W-001936,87.148114,0,,,False
W-000223,9,W-000134,93.666667,0,,,False
W-000224,9,W-001272,84.909994,0,,,False
W-000225,16,W-001498,87.012547,0,,,False
W-000226,10,W-002184,85.939982,0,,,False
W-000227,13,W-001209,84.115349,0,,,False
W-000228,10,W-000479,86.270321,0,,,False
W-000229,9,W-001676,89.602277,0,,,False
W-000230,8,W-002631,84.865396,0,,,False
W-000231,7,W-000232,84.444503,0,,,False
W-000232,4,W-000231,84.444503,0,,,False
W-000233,7,W-002102,85.312961,0,,,False
W-000234,8,W-000107,85.726935,0,,,False
W-000235,11,W-002895,87.085909,0,,,False
