work_id,lifecycle_stage,payment_based_financial_progress_pct_as_of,latest_reported_financial_progress_pct_as_of,latest_physical_progress_pct_as_of,fund_minus_physical_gap_pct_as_of,absolute_fund_minus_physical_gap_pct_as_of,reported_financial_minus_physical_gap_pct_as_of,reported_vs_payment_financial_progress_difference_pct,latest_historical_financial_minus_physical_gap_pct,max_historical_financial_minus_physical_gap_pct,mean_historical_financial_minus_physical_gap_pct,positive_gap_report_count,large_gap_report_count,latest_consecutive_large_gap_reports,max_consecutive_large_gap_reports,progress_report_count_as_of,large_positive_gap_heuristic_pct,current_large_positive_fund_gap_review_heuristic,persistent_large_reported_gap_review_heuristic,status_not_started_with_payment_evidence,status_not_started_with_physical_progress,evidence_interpretation
W-000001,COMPLETION,99.87873888439773,99.9,100.0,-0.12126111560226605,0.12126111560226605,-0.09999999999999432,0.02126111560227173,-0.09999999999999432,37.099999999999994,18.9,7,2,0,1,8,25.0,False,False,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000002,COMPLETION,94.82257126236183,94.8,100.0,-5.1774287376381665,5.1774287376381665,-5.200000000000003,-0.022571262361836375,-5.200000000000003,55.599999999999994,29.75999999999999,4,3,0,3,5,25.0,False,True,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000003,COMPLETION,103.80835380835381,103.8,100.0,3.8083538083538144,3.8083538083538144,3.799999999999997,-0.008353808353817271,3.799999999999997,59.3,30.924999999999997,4,2,0,2,4,25.0,False,True,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000004,COMPLETION,101.30168453292497,101.3,100.0,1.3016845329249662,1.3016845329249662,1.2999999999999972,-0.0016845329249690622,1.2999999999999972,52.0,13.899999999999999,3,2,0,2,4,25.0,False,True,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000005,EXECUTION,85.29555446995603,85.3,94.4,-9.104445530043975,9.104445530043975,-9.100000000000009,0.004445530043966528,-9.100000000000009,21.1,9.966666666666661,2,0,0,0,3,25.0,False,False,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000006,COMPLETION,98.6879100281162,98.7,100.0,-1.3120899718837933,1.3120899718837933,-1.2999999999999972,0.012089971883796125,-1.2999999999999972,85.3,39.5,5,4,0,4,6,25.0,False,True,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000007,COMPLETION,97.59825327510917,97.6,100.0,-2.4017467248908275,2.4017467248908275,-2.4000000000000057,0.001746724890821838,-2.4000000000000057,48.99999999999999,24.999999999999996,5,3,0,2,6,25.0,False,True,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000008,EXECUTION,80.7556080283353,80.8,75.7,5.0556080283353,5.0556080283353,5.099999999999994,0.04439197166469455,5.099999999999994,40.199999999999996,14.839999999999998,4,1,0,1,5,25.0,False,False,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000009,COMPLETION,100.12376237623762,100.1,100.0,0.12376237623762165,0.12376237623762165,0.09999999999999432,-0.023762376237627336,0.09999999999999432,44.2,24.162499999999994,8,3,0,2,8,25.0,False,True,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000010,COMPLETION,95.50218340611353,95.5,100.0,-4.497816593886469,4.497816593886469,-4.5,-0.0021834061135308502,-4.5,29.900000000000006,10.533333333333337,2,1,0,1,3,25.0,False,False,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000011,COMPLETION,93.99684044233807,94.0,100.0,-6.003159557661931,6.003159557661931,-6.0,0.0031595576619309895,-6.0,73.0,35.55,3,3,0,3,4,25.0,False,True,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000012,EXECUTION,74.45205479452055,74.5,83.6,-9.147945205479445,9.147945205479445,-9.099999999999994,0.04794520547945069,-9.099999999999994,-2.5,-7.2499999999999964,0,0,0,0,4,25.0,False,False,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000013,EXECUTION,28.271604938271604,28.3,32.2,-3.9283950617283985,3.9283950617283985,-3.900000000000002,0.028395061728396342,-3.900000000000002,3.4000000000000004,-2.5250000000000004,1,0,0,0,8,25.0,False,False,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000014,COMPLETION,101.5863331299573,101.6,100.0,1.5863331299572963,1.5863331299572963,1.5999999999999943,0.013666870042698065,1.5999999999999943,38.39999999999999,22.249999999999996,6,2,0,1,6,25.0,False,False,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000015,EXECUTION,76.65979381443299,76.7,80.2,-3.5402061855670155,3.5402061855670155,-3.5,0.040206185567015496,-3.5,27.89999999999999,14.424999999999999,3,1,0,1,4,25.0,False,False,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000016,EXECUTION,57.80346820809248,57.8,65.7,-7.89653179190752,7.89653179190752,-7.900000000000006,-0.00346820809248527,-7.900000000000006,-7.900000000000006,-16.525,0,0,0,0,4,25.0,False,False,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000017,EXECUTION,88.82335594219994,88.8,90.5,-1.6766440578000612,1.6766440578000612,-1.7000000000000028,-0.023355942199941637,-1.7000000000000028,1.0,-13.500000000000002,1,0,0,0,6,25.0,False,False,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000018,COMPLETION,107.15686274509804,107.2,100.0,7.156862745098039,7.156862745098039,7.200000000000003,0.043137254901964184,7.200000000000003,29.5,20.825,4,2,0,2,4,25.0,False,True,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000019,COMPLETION,105.96026490066225,106.0,100.0,5.960264900662253,5.960264900662253,6.0,0.039735099337747215,6.0,77.8,32.38333333333333,5,3,0,3,6,25.0,False,True,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000020,COMPLETION,95.36560247167868,95.4,100.0,-4.6343975283213155,4.6343975283213155,-4.599999999999994,0.03439752832132115,-4.599999999999994,52.10000000000001,20.933333333333334,5,3,0,3,6,25.0,False,True,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000021,COMPLETION,104.17490118577075,104.2,100.0,4.17490118577075,4.17490118577075,4.200000000000003,0.025098814229252753,4.200000000000003,55.1,25.950000000000006,5,3,0,3,6,25.0,False,True,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000022,COMPLETION,104.34626436781609,104.3,100.0,4.34626436781609,4.34626436781609,4.299999999999997,-0.046264367816093,4.299999999999997,57.5,28.275,4,2,0,2,4,25.0,False,True,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
W-000023,EXECUTION,42.666666666666664,42.7,50.0,-7.333333333333336,7.333333333333336,-7.299999999999997,0.033333333333338544,-7.299999999999997,8.500000000000004,0.08750000000000213,3,0,0,0,8,25.0,False,False,False,False,"Signed reconciliation and persistence evidence for review; heuristic bands are engineering choices, not MPLADS rules or final decisions."
