work_id,landmark_fraction,landmark_date,outcome_known_at_landmark,delay_outcome,cost_overrun_outcome,recommended_amount_inr,technical_estimate_amount_inr,sanctioned_amount_inr,estimate_to_recommended_ratio,sanction_to_recommended_ratio,sanction_to_estimate_ratio,days_recommendation_to_sanction,planned_duration_days,days_sanction_to_expected_start,released_payment_count_as_of,released_payment_total_inr_as_of,largest_payment_inr_as_of,mean_payment_inr_as_of,largest_payment_share_as_of,days_since_last_payment_as_of,expenditure_to_sanction_pct_as_of,financial_overrun_amount_inr_as_of,financial_overrun_pct_as_of,progress_report_count_as_of,latest_physical_progress_pct_as_of,latest_financial_progress_pct_as_of,latest_expected_progress_pct_as_of,financial_minus_physical_gap_pct_as_of,expected_minus_physical_gap_pct_as_of,physical_progress_decrease_count_as_of,max_physical_progress_drop_pct_as_of,physical_progress_velocity_pct_per_30d,actual_start_available_as_of,days_since_actual_start_as_of,days_to_expected_completion_as_of,schedule_elapsed_ratio_as_of,split
W-000003,0.25,2024-02-17T18:00:00,False,1,1,1573000,1598000,1628000,1.0158931977113794,1.034965034965035,1.018773466833542,33,203,27,1,277000.0,277000.0,277000.0,1.0,17.0,17.014742014742016,0.0,0.0,0,,,,,,0,0.0,,True,32,152,0.24630541871921183,VALIDATION
W-000003,0.5,2024-04-08T12:00:00,False,1,1,1573000,1598000,1628000,1.0158931977113794,1.034965034965035,1.018773466833542,33,203,27,2,642000.0,365000.0,321000.0,0.5685358255451713,46.0,39.434889434889435,0.0,0.0,0,,,,,,0,0.0,,True,83,101,0.4975369458128079,VALIDATION
W-000003,0.75,2024-05-29T06:00:00,False,1,1,1573000,1598000,1628000,1.0158931977113794,1.034965034965035,1.018773466833542,33,203,27,2,642000.0,365000.0,321000.0,0.5685358255451713,97.0,39.434889434889435,0.0,0.0,0,,,,,,0,0.0,,True,134,50,0.7487684729064039,VALIDATION
W-000009,0.25,2025-12-29T18:00:00,False,0,1,1658000,1579000,1616000,0.9523522316043426,0.9746682750301568,1.0234325522482584,33,355,26,1,912000.0,912000.0,912000.0,1.0,36.0,56.43564356435643,0.0,0.0,1,12.2,56.4,10.4,44.2,-1.799999999999999,0,0.0,,True,57,266,0.24788732394366197,TRAIN
W-000009,0.5,2026-03-28T12:00:00,False,0,1,1658000,1579000,1616000,0.9523522316043426,0.9746682750301568,1.0234325522482584,33,355,26,1,912000.0,912000.0,912000.0,1.0,125.0,56.43564356435643,0.0,0.0,3,34.0,56.4,31.8,22.4,-2.1999999999999993,0,0.0,8.605263157894736,True,146,177,0.49859154929577465,TRAIN
W-000009,0.75,2026-06-25T06:00:00,False,0,1,1658000,1579000,1616000,0.9523522316043426,0.9746682750301568,1.0234325522482584,33,355,26,2,1618000.0,912000.0,809000.0,0.5636588380716935,48.0,100.12376237623761,2000.0,0.12376237623762376,6,75.5,100.1,63.7,24.599999999999994,-11.799999999999997,0,0.0,10.047619047619047,True,235,88,0.7492957746478873,TRAIN
W-000014,0.25,2024-11-22T12:00:00,False,1,1,1664000,1618000,1639000,0.9723557692307693,0.9849759615384616,1.0129789864029666,17,270,15,1,464000.0,464000.0,464000.0,1.0,11.0,28.30994508846858,0.0,0.0,0,,,,,,0,0.0,,True,45,202,0.24814814814814815,TRAIN
W-000014,0.5,2025-01-29T00:00:00,False,1,1,1664000,1618000,1639000,0.9723557692307693,0.9849759615384616,1.0129789864029666,17,270,15,1,464000.0,464000.0,464000.0,1.0,79.0,28.30994508846858,0.0,0.0,0,,,,,,0,0.0,,True,113,135,0.5,TRAIN
W-000014,0.75,2025-04-06T12:00:00,False,1,1,1664000,1618000,1639000,0.9723557692307693,0.9849759615384616,1.0129789864029666,17,270,15,1,464000.0,464000.0,464000.0,1.0,146.0,28.30994508846858,0.0,0.0,1,11.8,28.3,42.6,16.5,30.8,0,0.0,,True,180,67,0.7481481481481481,TRAIN
W-000020,0.25,2024-07-07T00:00:00,False,1,0,1991000,1990000,1942000,0.9994977398292315,0.9753892516323456,0.9758793969849247,24,216,13,0,0.0,,,,,0.0,0.0,0.0,0,,,,,,0,0.0,,True,25,162,0.25,TRAIN
W-000020,0.5,2024-08-30T00:00:00,False,1,0,1991000,1990000,1942000,0.9994977398292315,0.9753892516323456,0.9758793969849247,24,216,13,1,628000.0,628000.0,628000.0,1.0,23.0,32.33779608650875,0.0,0.0,0,,,,,,0,0.0,,True,79,108,0.5,TRAIN
W-000020,0.75,2024-10-23T00:00:00,False,1,0,1991000,1990000,1942000,0.9994977398292315,0.9753892516323456,0.9758793969849247,24,216,13,1,628000.0,628000.0,628000.0,1.0,77.0,32.33779608650875,0.0,0.0,0,,,,,,0,0.0,,True,133,54,0.75,TRAIN
W-000041,0.25,2024-08-21T18:00:00,False,1,1,1232000,1317000,1309000,1.0689935064935066,1.0625,0.9939255884586181,39,231,26,0,0.0,,,,,0.0,0.0,0.0,0,,,,,,0,0.0,,True,48,173,0.24675324675324675,TRAIN
W-000041,0.5,2024-10-18T12:00:00,False,1,1,1232000,1317000,1309000,1.0689935064935066,1.0625,0.9939255884586181,39,231,26,0,0.0,,,,,0.0,0.0,0.0,0,,,,,,0,0.0,,True,106,115,0.49783549783549785,TRAIN
W-000041,0.75,2024-12-15T06:00:00,False,1,1,1232000,1317000,1309000,1.0689935064935066,1.0625,0.9939255884586181,39,231,26,0,0.0,,,,,0.0,0.0,0.0,1,18.4,0.0,48.5,-18.4,30.1,0,0.0,,True,164,57,0.7489177489177489,TRAIN
W-000051,0.25,2025-08-07T06:00:00,False,1,1,2705000,2760000,2837000,1.0203327171903882,1.0487985212569315,1.0278985507246376,17,285,41,0,0.0,,,,,0.0,0.0,0.0,1,14.4,0.0,19.3,-14.4,4.9,0,0.0,,True,56,213,0.24912280701754386,TEST
W-000051,0.5,2025-10-17T12:00:00,False,1,1,2705000,2760000,2837000,1.0203327171903882,1.0487985212569315,1.0278985507246376,17,285,41,1,1073000.0,1073000.0,1073000.0,1.0,12.0,37.82164258019034,0.0,0.0,2,30.1,0.0,38.9,-30.1,8.799999999999997,0,0.0,8.410714285714286,True,127,142,0.4982456140350877,TEST
W-000051,0.75,2025-12-27T18:00:00,False,1,1,2705000,2760000,2837000,1.0203327171903882,1.0487985212569315,1.0278985507246376,17,285,41,1,1073000.0,1073000.0,1073000.0,1.0,83.0,37.82164258019034,0.0,0.0,3,31.5,37.8,58.2,6.299999999999997,26.700000000000003,0,0.0,4.621621621621622,True,198,71,0.7473684210526316,TEST
W-000060,0.25,2024-04-05T18:00:00,False,1,1,1464000,1420000,1462000,0.9699453551912568,0.9986338797814208,1.0295774647887324,50,231,15,0,0.0,,,,,0.0,0.0,0.0,0,,,,,,0,0.0,,True,33,173,0.24675324675324675,TRAIN
W-000060,0.5,2024-06-02T12:00:00,False,1,1,1464000,1420000,1462000,0.9699453551912568,0.9986338797814208,1.0295774647887324,50,231,15,1,291000.0,291000.0,291000.0,1.0,14.0,19.904240766073872,0.0,0.0,0,,,,,,0,0.0,,True,91,115,0.49783549783549785,TRAIN
W-000060,0.75,2024-07-30T06:00:00,False,1,1,1464000,1420000,1462000,0.9699453551912568,0.9986338797814208,1.0295774647887324,50,231,15,3,840000.0,291000.0,280000.0,0.3464285714285714,47.0,57.45554035567716,0.0,0.0,0,,,,,,0,0.0,,True,149,57,0.7489177489177489,TRAIN
W-000063,0.25,2025-10-14T06:00:00,False,1,1,3155000,3300000,3325000,1.045958795562599,1.0538827258320127,1.0075757575757576,39,237,42,0,0.0,,,,,0.0,0.0,0.0,0,,,,,,0,0.0,,True,37,177,0.2489451476793249,TRAIN
W-000063,0.5,2025-12-12T12:00:00,False,1,1,3155000,3300000,3325000,1.045958795562599,1.0538827258320127,1.0075757575757576,39,237,42,1,1918000.0,1918000.0,1918000.0,1.0,18.0,57.684210526315795,0.0,0.0,1,21.4,0.0,30.0,-21.4,8.600000000000001,0,0.0,,True,96,118,0.4978902953586498,TRAIN
W-000063,0.75,2026-02-09T18:00:00,False,1,1,3155000,3300000,3325000,1.045958795562599,1.0538827258320127,1.0075757575757576,39,237,42,2,3491000.0,1918000.0,1745500.0,0.549412775708966,52.0,104.99248120300753,166000.0,4.992481203007519,2,39.5,105.0,60.3,65.5,20.799999999999997,0,0.0,7.541666666666666,True,155,59,0.7468354430379747,TRAIN
W-000066,0.25,2023-09-25T12:00:00,False,1,1,2093000,1979000,2024000,0.9455327281414238,0.967032967032967,1.0227387569479536,14,250,19,0,0.0,,,,,0.0,0.0,0.0,0,,,,,,0,0.0,,True,32,187,0.248,TRAIN
W-000066,0.5,2023-11-27T00:00:00,False,1,1,2093000,1979000,2024000,0.9455327281414238,0.967032967032967,1.0227387569479536,14,250,19,0,0.0,,,,,0.0,0.0,0.0,0,,,,,,0,0.0,,True,95,125,0.5,TRAIN
