work_id,landmark_fraction,landmark_date,outcome_known_at_landmark,delay_outcome,cost_overrun_outcome,recommended_amount_inr,technical_estimate_amount_inr,sanctioned_amount_inr,estimate_to_recommended_ratio,sanction_to_recommended_ratio,sanction_to_estimate_ratio,days_recommendation_to_sanction,planned_duration_days,days_sanction_to_expected_start,released_payment_count_as_of,released_payment_total_inr_as_of,largest_payment_inr_as_of,mean_payment_inr_as_of,largest_payment_share_as_of,days_since_last_payment_as_of,expenditure_to_sanction_pct_as_of,financial_overrun_amount_inr_as_of,financial_overrun_pct_as_of,progress_report_count_as_of,latest_physical_progress_pct_as_of,latest_financial_progress_pct_as_of,latest_expected_progress_pct_as_of,financial_minus_physical_gap_pct_as_of,expected_minus_physical_gap_pct_as_of,physical_progress_decrease_count_as_of,max_physical_progress_drop_pct_as_of,physical_progress_velocity_pct_per_30d,actual_start_available_as_of,days_since_actual_start_as_of,days_to_expected_completion_as_of,schedule_elapsed_ratio_as_of,split
W-000001,0.25,2026-02-10T18:00:00,False,0,,2331000,2444000,2474000,1.0484770484770485,1.0613470613470612,1.0122749590834696,7,271,39,3,1404000.0,557000.0,468000.0,0.39672364672364674,2.0,56.75020210185934,0.0,0.0,1,20.3,44.1,11.8,23.8,-8.5,0,0.0,,True,57,203,0.24723247232472326,NOT_SPLIT_INSUFFICIENT_SUPERVISED_OUTCOME_DATA
W-000001,0.5,2026-04-19T12:00:00,False,0,,2331000,2444000,2474000,1.0484770484770485,1.0613470613470612,1.0122749590834696,7,271,39,4,2074000.0,670000.0,518500.0,0.32304725168756027,24.0,83.83185125303153,0.0,0.0,3,40.1,56.8,35.8,16.699999999999996,-4.300000000000004,1,0.6000000000000014,9.138461538461538,True,125,135,0.4981549815498155,NOT_SPLIT_INSUFFICIENT_SUPERVISED_OUTCOME_DATA
W-000001,0.75,2026-06-26T06:00:00,False,0,,2331000,2444000,2474000,1.0484770484770485,1.0613470613470612,1.0122749590834696,7,271,39,4,2074000.0,670000.0,518500.0,0.32304725168756027,92.0,83.83185125303153,0.0,0.0,5,65.0,83.8,59.4,18.799999999999997,-5.600000000000001,1,0.6000000000000014,10.395348837209303,True,193,67,0.7490774907749077,NOT_SPLIT_INSUFFICIENT_SUPERVISED_OUTCOME_DATA
W-000002,0.25,2024-09-06T18:00:00,False,1,,1625000,1723000,1719000,1.0603076923076924,1.0578461538461539,0.9976784677887406,14,247,7,1,269000.0,269000.0,269000.0,1.0,40.0,15.648632926119838,0.0,0.0,0,,,,,,0,0.0,,True,56,185,0.24696356275303644,NOT_SPLIT_INSUFFICIENT_SUPERVISED_OUTCOME_DATA
W-000002,0.5,2024-11-07T12:00:00,False,1,,1625000,1723000,1719000,1.0603076923076924,1.0578461538461539,0.9976784677887406,14,247,7,3,936000.0,402000.0,312000.0,0.42948717948717946,30.0,54.45026178010471,0.0,0.0,0,,,,,,0,0.0,,True,118,123,0.4979757085020243,NOT_SPLIT_INSUFFICIENT_SUPERVISED_OUTCOME_DATA
W-000002,0.75,2025-01-08T06:00:00,False,1,,1625000,1723000,1719000,1.0603076923076924,1.0578461538461539,0.9976784677887406,14,247,7,4,1192000.0,402000.0,298000.0,0.337248322147651,38.0,69.34264107038976,0.0,0.0,1,20.2,69.3,63.2,49.099999999999994,43.0,0,0.0,,True,180,61,0.7489878542510121,NOT_SPLIT_INSUFFICIENT_SUPERVISED_OUTCOME_DATA
W-000003,0.25,2024-02-17T18:00:00,False,1,1,1573000,1598000,1628000,1.0158931977113794,1.034965034965035,1.018773466833542,33,203,27,1,277000.0,277000.0,277000.0,1.0,17.0,17.014742014742016,0.0,0.0,0,,,,,,0,0.0,,True,32,152,0.24630541871921183,NOT_SPLIT_INSUFFICIENT_SUPERVISED_OUTCOME_DATA
W-000003,0.5,2024-04-08T12:00:00,False,1,1,1573000,1598000,1628000,1.0158931977113794,1.034965034965035,1.018773466833542,33,203,27,2,642000.0,365000.0,321000.0,0.5685358255451713,46.0,39.434889434889435,0.0,0.0,0,,,,,,0,0.0,,True,83,101,0.4975369458128079,NOT_SPLIT_INSUFFICIENT_SUPERVISED_OUTCOME_DATA
W-000003,0.75,2024-05-29T06:00:00,False,1,1,1573000,1598000,1628000,1.0158931977113794,1.034965034965035,1.018773466833542,33,203,27,2,642000.0,365000.0,321000.0,0.5685358255451713,97.0,39.434889434889435,0.0,0.0,0,,,,,,0,0.0,,True,134,50,0.7487684729064039,NOT_SPLIT_INSUFFICIENT_SUPERVISED_OUTCOME_DATA
W-000004,0.25,2024-02-04T18:00:00,False,1,,2664000,2639000,2612000,0.9906156156156156,0.9804804804804805,0.9897688518378174,9,347,33,0,0.0,,,,,0.0,0.0,0.0,0,,,,,,0,0.0,,True,67,260,0.2478386167146974,NOT_SPLIT_INSUFFICIENT_SUPERVISED_OUTCOME_DATA
W-000004,0.5,2024-05-01T12:00:00,False,1,,2664000,2639000,2612000,0.9906156156156156,0.9804804804804805,0.9897688518378174,9,347,33,0,0.0,,,,,0.0,0.0,0.0,0,,,,,,0,0.0,,True,154,173,0.49855907780979825,NOT_SPLIT_INSUFFICIENT_SUPERVISED_OUTCOME_DATA
W-000004,0.75,2024-07-27T06:00:00,False,1,,2664000,2639000,2612000,0.9906156156156156,0.9804804804804805,0.9897688518378174,9,347,33,0,0.0,,,,,0.0,0.0,0.0,0,,,,,,0,0.0,,True,241,86,0.7492795389048992,NOT_SPLIT_INSUFFICIENT_SUPERVISED_OUTCOME_DATA
W-000006,0.25,2024-10-01T18:00:00,False,1,,2016000,2101000,2134000,1.0421626984126984,1.058531746031746,1.0157068062827226,24,239,28,9,2106000.0,330000.0,234000.0,0.15669515669515668,6.0,98.6879100281162,0.0,0.0,0,,,,,,0,0.0,,True,52,179,0.24686192468619247,NOT_SPLIT_INSUFFICIENT_SUPERVISED_OUTCOME_DATA
W-000006,0.5,2024-11-30T12:00:00,False,1,,2016000,2101000,2134000,1.0421626984126984,1.058531746031746,1.0157068062827226,24,239,28,9,2106000.0,330000.0,234000.0,0.15669515669515668,66.0,98.6879100281162,0.0,0.0,0,,,,,,0,0.0,,True,112,119,0.497907949790795,NOT_SPLIT_INSUFFICIENT_SUPERVISED_OUTCOME_DATA
