work_id,payment_id,signal_code,signal_severity,observed_value,expected_pattern,evidence,event_date
W-000002,P-W-000002-04,PAYMENT_AUTH_BEFORE_REQUEST,WARNING,authorization=2024-11-28; request=2024-11-29,authorization date should ordinarily not precede request date,Authorization precedes the recorded request date.,2024-11-28
W-000003,,RELEASED_TOTAL_EXCEEDS_SANCTION,STRONG_WARNING,released_total_inr=1690000; sanctioned_amount_inr=1628000,released-payment total should ordinarily not exceed the visible sanctioned amount,Visible released-payment aggregate exceeds the visible sanctioned amount.,2024-10-26
W-000004,P-W-000004-01,PAYMENT_AUTH_BEFORE_REQUEST,WARNING,authorization=2024-08-21; request=2024-08-22,authorization date should ordinarily not precede request date,Authorization precedes the recorded request date.,2024-08-21
W-000004,,RELEASED_TOTAL_EXCEEDS_SANCTION,STRONG_WARNING,released_total_inr=2646000; sanctioned_amount_inr=2612000,released-payment total should ordinarily not exceed the visible sanctioned amount,Visible released-payment aggregate exceeds the visible sanctioned amount.,2025-01-25
W-000005,P-W-000005-04,PAYMENT_AUTH_BEFORE_REQUEST,WARNING,authorization=2025-08-09; request=2025-08-11,authorization date should ordinarily not precede request date,Authorization precedes the recorded request date.,2025-08-09
W-000006,P-W-000006-04,PAYMENT_AUTH_BEFORE_REQUEST,WARNING,authorization=2024-09-09; request=2024-09-10,authorization date should ordinarily not precede request date,Authorization precedes the recorded request date.,2024-09-09
W-000008,P-W-000008-02,PAYMENT_AUTH_BEFORE_REQUEST,WARNING,authorization=2026-01-14; request=2026-01-15,authorization date should ordinarily not precede request date,Authorization precedes the recorded request date.,2026-01-14
W-000009,P-W-000009-01,PAYMENT_AUTH_BEFORE_REQUEST,WARNING,authorization=2025-11-20; request=2025-11-21,authorization date should ordinarily not precede request date,Authorization precedes the recorded request date.,2025-11-20
W-000009,,RELEASED_TOTAL_EXCEEDS_SANCTION,STRONG_WARNING,released_total_inr=1618000; sanctioned_amount_inr=1616000,released-payment total should ordinarily not exceed the visible sanctioned amount,Visible released-payment aggregate exceeds the visible sanctioned amount.,2026-05-08
W-000012,P-W-000012-05,PAYMENT_AUTH_BEFORE_REQUEST,WARNING,authorization=2026-08-28; request=2026-08-29,authorization date should ordinarily not precede request date,Authorization precedes the recorded request date.,2026-08-28
W-000014,P-W-000014-02,PAYMENT_AUTH_BEFORE_REQUEST,WARNING,authorization=2025-05-10; request=2025-05-12,authorization date should ordinarily not precede request date,Authorization precedes the recorded request date.,2025-05-10
W-000014,,RELEASED_TOTAL_EXCEEDS_SANCTION,STRONG_WARNING,released_total_inr=1665000; sanctioned_amount_inr=1639000,released-payment total should ordinarily not exceed the visible sanctioned amount,Visible released-payment aggregate exceeds the visible sanctioned amount.,2025-09-20
W-000017,P-W-000017-01,PAYMENT_AUTH_BEFORE_REQUEST,WARNING,authorization=2026-04-13; request=2026-04-14,authorization date should ordinarily not precede request date,Authorization precedes the recorded request date.,2026-04-13
W-000018,,RELEASED_TOTAL_EXCEEDS_SANCTION,STRONG_WARNING,released_total_inr=2186000; sanctioned_amount_inr=2040000,released-payment total should ordinarily not exceed the visible sanctioned amount,Visible released-payment aggregate exceeds the visible sanctioned amount.,2026-04-13
W-000019,P-W-000019-01,PAYMENT_AUTH_BEFORE_REQUEST,WARNING,authorization=2024-04-19; request=2024-04-20,authorization date should ordinarily not precede request date,Authorization precedes the recorded request date.,2024-04-19
W-000019,,RELEASED_TOTAL_EXCEEDS_SANCTION,STRONG_WARNING,released_total_inr=960000; sanctioned_amount_inr=906000,released-payment total should ordinarily not exceed the visible sanctioned amount,Visible released-payment aggregate exceeds the visible sanctioned amount.,2024-04-22
W-000021,,RELEASED_TOTAL_EXCEEDS_SANCTION,STRONG_WARNING,released_total_inr=4217000; sanctioned_amount_inr=4048000,released-payment total should ordinarily not exceed the visible sanctioned amount,Visible released-payment aggregate exceeds the visible sanctioned amount.,2025-02-28
W-000022,,RELEASED_TOTAL_EXCEEDS_SANCTION,STRONG_WARNING,released_total_inr=2905000; sanctioned_amount_inr=2784000,released-payment total should ordinarily not exceed the visible sanctioned amount,Visible released-payment aggregate exceeds the visible sanctioned amount.,2025-02-24
