work_id,payment_auth_before_request_count,payment_release_before_auth_count,duplicate_pfms_reference_count,zero_value_released_payment_count,payment_after_completion_count,payment_after_final_payment_count,multiple_final_payments_count,released_total_exceeds_sanction_count,payment_irregularity_evidence_count,has_payment_irregularity_evidence
W-000001,0,0,0,0,0,0,0,0,0,False
W-000002,1,0,0,0,0,0,0,0,1,True
W-000003,0,0,0,0,0,0,0,1,1,True
W-000004,1,0,0,0,0,0,0,1,2,True
W-000005,1,0,0,0,0,0,0,0,1,True
W-000006,1,0,0,0,0,0,0,0,1,True
W-000007,0,0,0,0,0,0,0,0,0,False
W-000008,1,0,0,0,0,0,0,0,1,True
W-000009,1,0,0,0,0,0,0,1,2,True
W-000010,0,0,0,0,0,0,0,0,0,False
W-000011,0,0,0,0,0,0,0,0,0,False
W-000012,1,0,0,0,0,0,0,0,1,True
W-000013,0,0,0,0,0,0,0,0,0,False
W-000014,1,0,0,0,0,0,0,1,2,True
W-000015,0,0,0,0,0,0,0,0,0,False
W-000016,0,0,0,0,0,0,0,0,0,False
W-000017,1,0,0,0,0,0,0,0,1,True
W-000018,0,0,0,0,0,0,0,1,1,True
W-000019,1,0,0,0,0,0,0,1,2,True
W-000020,0,0,0,0,0,0,0,0,0,False
W-000021,0,0,0,0,0,0,0,1,1,True
W-000022,0,0,0,0,0,0,0,1,1,True
W-000023,1,0,0,0,0,0,0,0,1,True
W-000024,0,0,0,0,0,0,0,0,0,False
W-000025,0,0,0,0,0,0,0,0,0,False
W-000026,1,0,0,0,0,0,0,0,1,True
W-000027,1,0,0,0,0,0,0,0,1,True
W-000028,0,0,0,0,0,0,0,1,1,True
W-000029,1,0,0,0,0,0,0,0,1,True
W-000030,0,0,0,0,0,0,0,0,0,False
W-000031,0,0,0,0,0,0,0,0,0,False
W-000032,1,0,0,0,0,0,0,0,1,True
W-000033,2,0,0,0,0,0,0,1,3,True
W-000034,1,0,0,0,0,0,0,0,1,True
W-000035,0,0,0,0,0,0,0,1,1,True
W-000036,0,0,0,0,0,0,0,1,1,True
W-000037,0,0,0,0,0,0,0,0,0,False
W-000038,0,0,0,0,0,0,0,0,0,False
W-000039,0,0,0,0,0,0,0,0,0,False
W-000040,0,0,0,0,0,0,0,1,1,True
