work_id,lifecycle_stage,delay_prediction_applicability,already_overdue_as_of,delay_probability_uncalibrated,delay_probability_calibrated,delay_prediction_percentile_0_100,delay_percentile_within_applicable_execution,cost_overrun_prediction_applicability,already_over_sanction_as_of,cost_overrun_probability_uncalibrated,cost_overrun_probability_calibrated,cost_overrun_prediction_percentile_0_100,cost_overrun_percentile_within_applicable_execution,cost_overrun_model_score_raw_probability,cost_overrun_calibration_status,cost_overrun_calibration_serving_eligible,cost_overrun_model_quality_status,cost_overrun_serving_score,cost_overrun_serving_percentile_0_100,cost_overrun_serving_rank
W-000001,COMPLETION,OUTCOME_ALREADY_KNOWN,False,,,,,OUTCOME_ALREADY_KNOWN,False,,,,,,UNSTABLE_RANK_REVERSAL,False,PROTOTYPE_WEAK_DISCRIMINATION,,,
W-000002,COMPLETION,OUTCOME_ALREADY_KNOWN,False,,,,,OUTCOME_ALREADY_KNOWN,False,,,,,,UNSTABLE_RANK_REVERSAL,False,PROTOTYPE_WEAK_DISCRIMINATION,,,
W-000003,COMPLETION,OUTCOME_ALREADY_KNOWN,False,,,,,OUTCOME_ALREADY_KNOWN,False,,,,,,UNSTABLE_RANK_REVERSAL,False,PROTOTYPE_WEAK_DISCRIMINATION,,,
W-000004,COMPLETION,OUTCOME_ALREADY_KNOWN,False,,,,,OUTCOME_ALREADY_KNOWN,False,,,,,,UNSTABLE_RANK_REVERSAL,False,PROTOTYPE_WEAK_DISCRIMINATION,,,
W-000005,EXECUTION,INSUFFICIENT_SUPERVISED_OUTCOME_DATA,True,,,,,PREDICTED_EARLY_WARNING_ELIGIBLE,False,0.4092134833335876,0.7541402281309928,31.374999999999996,31.374999999999996,0.4092134833335876,UNSTABLE_RANK_REVERSAL,False,PROTOTYPE_WEAK_DISCRIMINATION,0.4092134833335876,31.374999999999996,550
W-000006,COMPLETION,OUTCOME_ALREADY_KNOWN,False,,,,,OUTCOME_ALREADY_KNOWN,False,,,,,,UNSTABLE_RANK_REVERSAL,False,PROTOTYPE_WEAK_DISCRIMINATION,,,
W-000007,COMPLETION,OUTCOME_ALREADY_KNOWN,False,,,,,OUTCOME_ALREADY_KNOWN,False,,,,,,UNSTABLE_RANK_REVERSAL,False,PROTOTYPE_WEAK_DISCRIMINATION,,,
W-000008,EXECUTION,INSUFFICIENT_SUPERVISED_OUTCOME_DATA,False,,,,,PREDICTED_EARLY_WARNING_ELIGIBLE,False,0.2136255055665969,0.8257368025283905,11.5,11.5,0.2136255055665969,UNSTABLE_RANK_REVERSAL,False,PROTOTYPE_WEAK_DISCRIMINATION,0.2136255055665969,11.5,709
W-000009,COMPLETION,OUTCOME_ALREADY_KNOWN,False,,,,,OUTCOME_ALREADY_KNOWN,False,,,,,,UNSTABLE_RANK_REVERSAL,False,PROTOTYPE_WEAK_DISCRIMINATION,,,
W-000010,COMPLETION,OUTCOME_ALREADY_KNOWN,False,,,,,OUTCOME_ALREADY_KNOWN,False,,,,,,UNSTABLE_RANK_REVERSAL,False,PROTOTYPE_WEAK_DISCRIMINATION,,,
W-000011,COMPLETION,OUTCOME_ALREADY_KNOWN,False,,,,,OUTCOME_ALREADY_KNOWN,False,,,,,,UNSTABLE_RANK_REVERSAL,False,PROTOTYPE_WEAK_DISCRIMINATION,,,
W-000012,EXECUTION,INSUFFICIENT_SUPERVISED_OUTCOME_DATA,False,,,,,PREDICTED_EARLY_WARNING_ELIGIBLE,False,0.6963613033294678,0.6375014416939203,65.75,65.75,0.6963613033294678,UNSTABLE_RANK_REVERSAL,False,PROTOTYPE_WEAK_DISCRIMINATION,0.6963613033294678,65.75,275
W-000013,EXECUTION,INSUFFICIENT_SUPERVISED_OUTCOME_DATA,False,,,,,PREDICTED_EARLY_WARNING_ELIGIBLE,False,0.2148584425449371,0.8252465869256652,11.75,11.75,0.2148584425449371,UNSTABLE_RANK_REVERSAL,False,PROTOTYPE_WEAK_DISCRIMINATION,0.2148584425449371,11.75,707
W-000014,COMPLETION,OUTCOME_ALREADY_KNOWN,False,,,,,OUTCOME_ALREADY_KNOWN,False,,,,,,UNSTABLE_RANK_REVERSAL,False,PROTOTYPE_WEAK_DISCRIMINATION,,,
W-000015,EXECUTION,INSUFFICIENT_SUPERVISED_OUTCOME_DATA,True,,,,,PREDICTED_EARLY_WARNING_ELIGIBLE,False,0.914771854877472,0.4619392407406215,94.25,94.25,0.914771854877472,UNSTABLE_RANK_REVERSAL,False,PROTOTYPE_WEAK_DISCRIMINATION,0.914771854877472,94.25,47
W-000016,EXECUTION,INSUFFICIENT_SUPERVISED_OUTCOME_DATA,False,,,,,PREDICTED_EARLY_WARNING_ELIGIBLE,False,0.6939421892166138,0.6387262684584883,65.375,65.375,0.6939421892166138,UNSTABLE_RANK_REVERSAL,False,PROTOTYPE_WEAK_DISCRIMINATION,0.6939421892166138,65.375,278
