work_id,mp_id,state_name,constituency,district,sector,sub_sector,implementing_agency_id,sanction_status,source_current_status,feature_snapshot_date,lifecycle_stage,is_rejected,recommendation_date,sanction_date_as_of,expected_start_date,expected_completion_date,actual_start_date_as_of,recommended_amount_inr,technical_estimate_amount_inr,sanctioned_amount_inr,estimate_to_recommended_ratio,sanction_to_recommended_ratio,sanction_to_estimate_ratio,days_recommendation_to_sanction,planned_duration_days,days_sanction_to_expected_start,released_payment_count_as_of,released_payment_total_inr_as_of,unique_vendor_count_as_of,largest_payment_inr_as_of,mean_payment_inr_as_of,largest_payment_share_as_of,vendor_hhi_as_of,first_payment_release_date_as_of,last_payment_release_date_as_of,days_since_last_payment_as_of,final_payment_count_as_of,has_final_payment_as_of,zero_value_released_payment_count_as_of,expenditure_to_sanction_pct_as_of,financial_overrun_amount_inr_as_of,financial_overrun_pct_as_of,progress_report_count_as_of,first_progress_report_date_as_of,latest_progress_report_date_as_of,latest_physical_progress_pct_as_of,latest_financial_progress_pct_as_of,latest_expected_progress_pct_as_of,financial_minus_physical_gap_pct_as_of,expected_minus_physical_gap_pct_as_of,days_since_last_progress_report_as_of,physical_progress_decrease_count_as_of,max_physical_progress_drop_pct_as_of,same_day_progress_extra_count_as_of,physical_progress_velocity_pct_per_30d,actual_start_available_as_of,days_since_actual_start_as_of,days_to_expected_completion_as_of,overdue_days_as_of,schedule_elapsed_ratio_as_of,asset_record_count_as_of,is_completed_as_of,completion_date_as_of,completion_marked_as_of,uc_recorded_as_of,handover_recorded_as_of,public_use_recorded_as_of,audit_recorded_as_of,final_expenditure_inr_as_of,actual_duration_days,completion_delay_days,source_current_physical_progress_pct,source_current_expenditure_inr,source_vs_asof_expenditure_difference_inr,source_vs_asof_physical_progress_difference_pct
W-000001,MP-OD-003,Odisha,Odisha Demo Constituency 3,Odisha Demo District 4,Sports,Playground Development,IA-OD-006,Sanctioned,Completed,2026-09-01,COMPLETION,False,2025-10-20,2025-10-27,2025-12-05,2026-09-02,2025-12-15,2331000,2444000,2474000.0,1.0484770484770485,1.0613470613470612,1.0122749590834696,7.0,271.0,39.0,5,2471000,1,670000.0,494200.0,0.27114528530959126,1.0,2026-01-03,2026-07-21,42.0,1,True,0,99.87873888439773,0.0,0.0,8,2026-01-16,2026-08-31,100.0,99.9,95.6,-0.09999999999999432,-4.400000000000006,1.0,1,0.6000000000000014,0,10.533039647577093,True,260.0,1.0,,0.996309963099631,1,True,2026-08-31,False,False,False,False,False,,259.0,-2.0,100.0,2471000,0,0.0
W-000002,MP-KA-002,Karnataka,Karnataka Demo Constituency 2,Karnataka Demo District 1,Sports,Open Gym,IA-KA-001,Sanctioned,Completed,2026-09-01,COMPLETION,False,2024-06-16,2024-06-30,2024-07-07,2025-03-11,2024-07-12,1625000,1723000,1719000.0,1.0603076923076924,1.0578461538461539,0.9976784677887406,14.0,247.0,7.0,6,1630000,1,402000.0,271666.6666666667,0.24662576687116564,1.0,2024-07-28,2025-05-03,486.0,1,True,0,94.82257126236185,0.0,0.0,5,2024-12-15,2026-08-31,100.0,94.8,100.0,-5.200000000000003,0.0,1.0,0,0.0,0,3.8365384615384612,True,781.0,-539.0,,3.182186234817814,1,True,2026-08-31,False,False,False,False,False,,780.0,538.0,100.0,1630000,0,0.0
W-000003,MP-TS-006,Telangana,Telangana Rajya Sabha Seat,Telangana Demo District 1,Community Infrastructure,Bus Shelter,IA-TS-005,Sanctioned,Completed,2026-09-01,COMPLETION,False,2023-10-30,2023-12-02,2023-12-29,2024-07-19,2024-01-16,1573000,1598000,1628000.0,1.0158931977113794,1.034965034965035,1.018773466833542,33.0,203.0,27.0,5,1690000,1,446000.0,338000.0,0.263905325443787,1.0,2024-01-31,2024-10-26,675.0,1,True,0,103.8083538083538,62000.0,3.8083538083538087,4,2024-09-11,2026-08-31,100.0,103.8,100.0,3.799999999999997,0.0,1.0,0,0.0,0,2.9874826147426976,True,959.0,-774.0,,4.812807881773399,1,True,2026-08-31,True,False,False,False,False,1690000.0,958.0,773.0,100.0,1690000,0,0.0
W-000004,MP-OD-005,Odisha,Odisha Demo Constituency 5,Odisha Demo District 2,Drinking Water,Pipeline Extension,IA-OD-004,Sanctioned,Completed,2026-09-01,COMPLETION,False,2023-09-29,2023-10-08,2023-11-10,2024-10-22,2023-11-29,2664000,2639000,2612000.0,0.9906156156156156,0.9804804804804805,0.9897688518378174,9.0,347.0,33.0,4,2646000,1,807000.0,661500.0,0.30498866213151926,1.0,2024-08-24,2025-01-25,584.0,1,True,0,101.30168453292497,34000.0,1.3016845329249618,4,2024-08-06,2026-08-31,100.0,101.3,100.0,1.2999999999999972,0.0,1.0,0,0.0,0,3.0,True,1007.0,-679.0,,2.956772334293948,1,True,2026-08-31,False,False,False,False,False,,1006.0,678.0,100.0,2646000,0,0.0
W-000005,MP-AP-005,Andhra Pradesh,Andhra Pradesh Demo Constituency 5,Andhra Pradesh Demo District 2,Drinking Water,RO Water Plant,IA-AP-001,Sanctioned,Ongoing,2026-09-01,EXECUTION,False,2024-09-07,2024-10-15,2024-11-25,2025-06-28,2024-12-11,1949000,2024000,2047000.0,1.0384812724474088,1.0502821959979476,1.0113636363636365,38.0,215.0,41.0,6,1746000,1,383000.0,291000.0,0.21935853379152348,1.0,2025-01-28,2025-11-01,304.0,0,False,0,85.29555446995603,0.0,0.0,3,2025-07-08,2026-08-31,94.4,85.3,100.0,-9.100000000000009,5.599999999999994,1.0,0,0.0,0,4.86873508353222,True,629.0,-430.0,430.0,3.0,0,False,,False,False,False,False,False,,,,94.4,1746000,0,0.0
W-000006,MP-AP-002,Andhra Pradesh,Andhra Pradesh Demo Constituency 2,Andhra Pradesh Demo District 2,Sanitation,Community Sanitation,IA-AP-004,Sanctioned,Completed,2026-09-01,COMPLETION,False,2024-06-12,2024-07-06,2024-08-03,2025-03-30,2024-08-10,2016000,2101000,2134000.0,1.0421626984126984,1.058531746031746,1.0157068062827226,24.0,239.0,28.0,9,2106000,1,330000.0,234000.0,0.15669515669515668,1.0,2024-08-30,2024-09-25,706.0,1,True,0,98.6879100281162,0.0,0.0,6,2024-12-13,2026-08-31,100.0,98.7,100.0,-1.2999999999999972,0.0,1.0,0,0.0,0,4.1501597444089455,True,752.0,-520.0,,3.1757322175732217,1,True,2026-08-31,False,False,False,False,False,,751.0,519.0,100.0,2106000,0,0.0
W-000007,MP-AP-003,Andhra Pradesh,Andhra Pradesh Demo Constituency 3,Andhra Pradesh Demo District 2,Sanitation,Public Toilet,IA-AP-003,Sanctioned,Completed,2026-09-01,COMPLETION,False,2023-07-22,2023-07-29,2023-09-09,2024-06-12,2023-09-27,2186000,2230000,2290000.0,1.020128087831656,1.0475754803293686,1.0269058295964126,7.0,277.0,42.0,2,2235000,1,1207000.0,1117500.0,0.5400447427293065,1.0,2024-03-22,2024-10-12,689.0,1,True,0,97.59825327510917,0.0,0.0,6,2024-03-23,2026-08-31,100.0,97.6,100.0,-2.4000000000000057,0.0,1.0,0,0.0,0,2.993265993265993,True,1070.0,-811.0,,3.927797833935018,1,True,2026-08-31,False,False,False,False,False,,1069.0,810.0,100.0,2235000,0,0.0
W-000008,MP-MH-004,Maharashtra,Maharashtra Demo Constituency 4,Maharashtra Demo District 4,Drinking Water,RO Water Plant,IA-MH-005,Sanctioned,Ongoing,2026-09-01,EXECUTION,False,2025-08-23,2025-09-14,2025-10-14,2026-09-25,2025-11-13,838000,818000,847000.0,0.9761336515513126,1.0107398568019093,1.0354523227383863,22.0,346.0,30.0,6,684000,1,148000.0,114000.0,0.21637426900584794,1.0,2025-12-22,2026-04-27,127.0,0,False,0,80.7556080283353,0.0,0.0,5,2026-01-10,2026-08-31,75.7,80.8,84.1,5.099999999999994,8.399999999999991,1.0,0,0.0,0,7.763948497854078,True,292.0,24.0,0.0,0.930635838150289,0,False,,False,False,False,False,False,,,,75.7,684000,0,0.0
W-000009,MP-MH-002,Maharashtra,Maharashtra Demo Constituency 2,Maharashtra Demo District 3,Drinking Water,Pipeline Extension,IA-MH-004,Sanctioned,Completed,2026-09-01,COMPLETION,False,2025-08-04,2025-09-06,2025-10-02,2026-09-22,2025-11-02,1658000,1579000,1616000.0,0.9523522316043426,0.9746682750301568,1.0234325522482584,33.0,355.0,26.0,2,1618000,1,912000.0,809000.0,0.5636588380716935,1.0,2025-11-23,2026-05-08,116.0,1,True,0,100.12376237623761,2000.0,0.12376237623762376,8,2025-12-09,2026-08-31,100.0,100.1,85.1,0.09999999999999432,-14.900000000000006,1.0,0,0.0,0,9.939622641509434,True,303.0,21.0,,0.9408450704225352,1,True,2026-08-31,True,False,False,False,False,1618000.0,302.0,-22.0,100.0,1618000,0,0.0
W-000010,MP-AP-004,Andhra Pradesh,Andhra Pradesh Demo Constituency 4,Andhra Pradesh Demo District 3,Renewable Energy,Solar Street Lights,IA-AP-002,Sanctioned,Completed,2026-09-01,COMPLETION,False,2024-12-29,2025-02-14,2025-02-24,2025-11-29,2025-03-09,2116000,2246000,2290000.0,1.061436672967864,1.0822306238185255,1.0195903829029385,47.0,278.0,10.0,3,2187000,1,801000.0,729000.0,0.3662551440329218,1.0,2025-06-26,2025-11-14,291.0,1,True,0,95.50218340611355,0.0,0.0,3,2025-09-05,2026-08-31,100.0,95.5,100.0,-4.5,0.0,1.0,0,0.0,0,5.933333333333334,True,541.0,-276.0,,1.9928057553956835,1,True,2026-08-31,False,False,False,False,False,,540.0,275.0,100.0,2187000,0,0.0
