alert_id,work_id,lifecycle_stage,alert_type,evidence_code,alert_strength_0_100,alert_summary,source_artifact,source_record_reference
D7-000001,W-000001,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000001;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000002,W-000002,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000002;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000003,W-000003,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000003;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000004,W-000004,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000004;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000005,W-000006,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000006;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000006,W-000007,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000007;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000007,W-000008,EXECUTION,COMPLIANCE_REVIEW,MPLADS-3.2.12-COMPLETION-LIMIT,60.0,Actionable compliance REVIEW under MPLADS-3.2.12-COMPLETION-LIMIT (WARNING).,data/processed/compliance_evidence.csv,work_id=W-000008;rule_id=MPLADS-3.2.12-COMPLETION-LIMIT
D7-000008,W-000009,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000009;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000009,W-000010,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000010;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000010,W-000011,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000011;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000011,W-000013,EXECUTION,COMPLIANCE_REVIEW,MPLADS-3.2.12-COMPLETION-LIMIT,60.0,Actionable compliance REVIEW under MPLADS-3.2.12-COMPLETION-LIMIT (WARNING).,data/processed/compliance_evidence.csv,work_id=W-000013;rule_id=MPLADS-3.2.12-COMPLETION-LIMIT
D7-000012,W-000014,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000014;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000013,W-000016,EXECUTION,COMPLIANCE_REVIEW,MPLADS-3.2.12-COMPLETION-LIMIT,60.0,Actionable compliance REVIEW under MPLADS-3.2.12-COMPLETION-LIMIT (WARNING).,data/processed/compliance_evidence.csv,work_id=W-000016;rule_id=MPLADS-3.2.12-COMPLETION-LIMIT
D7-000014,W-000018,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000018;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000015,W-000019,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000019;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000016,W-000020,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000020;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000017,W-000021,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000021;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000018,W-000022,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000022;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000019,W-000024,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000024;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000020,W-000025,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000025;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000021,W-000027,EXECUTION,COMPLIANCE_REVIEW,MPLADS-3.2.4-SANCTION-45D,60.0,Actionable compliance REVIEW under MPLADS-3.2.4-SANCTION-45D (WARNING).,data/processed/compliance_evidence.csv,work_id=W-000027;rule_id=MPLADS-3.2.4-SANCTION-45D
D7-000022,W-000028,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000028;rule_id=MPLADS-11.2-COMPLETION-UC
D7-000023,W-000031,EXECUTION,COMPLIANCE_REVIEW,MPLADS-3.2.4-SANCTION-45D,60.0,Actionable compliance REVIEW under MPLADS-3.2.4-SANCTION-45D (WARNING).,data/processed/compliance_evidence.csv,work_id=W-000031;rule_id=MPLADS-3.2.4-SANCTION-45D
D7-000024,W-000033,COMPLETION,COMPLIANCE_REVIEW,MPLADS-11.2-COMPLETION-UC,80.0,Actionable compliance REVIEW under MPLADS-11.2-COMPLETION-UC (STRONG_WARNING).,data/processed/compliance_evidence.csv,work_id=W-000033;rule_id=MPLADS-11.2-COMPLETION-UC
