work_id,lifecycle_stage,review_priority_score_0_100,review_priority_band,review_priority_rank_overall,review_priority_rank_within_lifecycle,fusion_evidence_coverage_pct,top_contributor_1_family,top_contributor_1_points,top_contributor_1_summary,top_contributor_2_family,top_contributor_2_points,top_contributor_2_summary,top_contributor_3_family,top_contributor_3_points,top_contributor_3_summary,has_duplicate_review_candidate,has_payment_evidence,has_compliance_review,has_deterministic_non_compliant_evidence,already_overdue_as_of,already_over_sanction_as_of,cost_prediction_available
W-001937,COMPLETION,89.441901,CRITICAL,1,1,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 100.000; persistence boost 10 points.,DUPLICATE_REVIEW,14.130249,Corroborated Day-4.1 duplicate review candidate; best similarity score 94.202.,True,True,True,False,False,False,False
W-000431,COMPLETION,89.024602,CRITICAL,2,2,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 100.000; persistence boost 10 points.,DUPLICATE_REVIEW,14.298486,Corroborated Day-4.1 duplicate review candidate; best similarity score 95.323.,True,True,True,False,False,False,False
W-002276,COMPLETION,81.620706,CRITICAL,3,3,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 100.000; persistence boost 10 points.,DUPLICATE_REVIEW,14.249755,Corroborated Day-4.1 duplicate review candidate; best similarity score 94.998.,True,True,True,False,False,False,False
W-002259,COMPLETION,81.065145,CRITICAL,4,4,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,19.471903,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 97.360; persistence boost 0 points.,DUPLICATE_REVIEW,14.249755,Corroborated Day-4.1 duplicate review candidate; best similarity score 94.998.,True,True,True,False,False,False,False
W-002760,EXECUTION,78.928155,CRITICAL,5,1,100,PAYMENT_EXECUTION,25.0,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 100.000; persistence boost 10 points.,OBSERVED_CONDITIONS,19.736842,"Observed overdue=False (days=0.0, score=0.000); observed over sanction=True (overrun_pct=58.31622176591375, score=98.684).",ANOMALY,9.9875,Within-lifecycle statistical unusualness percentile 99.875; not a probability.,False,True,True,False,False,True,True
W-001966,COMPLETION,76.060968,CRITICAL,6,5,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,DUPLICATE_REVIEW,14.130249,Corroborated Day-4.1 duplicate review candidate; best similarity score 94.202.,PAYMENT_EXECUTION,13.496276,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 67.481; persistence boost 10 points.,True,True,True,False,False,False,False
W-000090,COMPLETION,75.812803,CRITICAL,7,6,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 100.000; persistence boost 10 points.,OPERATIONAL_TREND_CONTEXT,9.051095,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 3 context; strongest metric progress_report_count; signed robust z 29.172.,False,True,True,False,False,False,False
W-000934,COMPLETION,75.087757,CRITICAL,8,7,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 100.000; persistence boost 10 points.,OPERATIONAL_TREND_CONTEXT,9.051095,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 3 context; strongest metric progress_report_count; signed robust z 29.172.,False,True,True,False,False,False,False
W-002883,COMPLETION,74.610449,HIGH,9,8,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 100.000; persistence boost 10 points.,OPERATIONAL_TREND_CONTEXT,8.193431,state_name=Telangana|district=Telangana Demo District 1|sector=Sanitation context; strongest metric progress_report_count; signed robust z 21.584.,False,True,True,False,False,False,False
W-002873,COMPLETION,74.347292,HIGH,10,9,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 100.000; persistence boost 10 points.,OPERATIONAL_TREND_CONTEXT,8.99635,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Health context; strongest metric progress_report_count; signed robust z 29.003.,False,True,True,False,False,False,False
W-000382,COMPLETION,74.236227,HIGH,11,10,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 100.000; persistence boost 10 points.,ANOMALY,7.991701,Within-lifecycle statistical unusualness percentile 99.896; not a probability.,False,True,True,False,False,False,False
W-002135,COMPLETION,74.135874,HIGH,12,11,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 100.000; persistence boost 10 points.,OPERATIONAL_TREND_CONTEXT,8.868613,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 4|sector=Health context; strongest metric progress_report_count; signed robust z 26.980.,False,True,True,False,False,False,False
W-001313,COMPLETION,73.979647,HIGH,13,12,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 100.000; persistence boost 10 points.,ANOMALY,7.954357,Within-lifecycle statistical unusualness percentile 99.429; not a probability.,False,True,True,False,False,False,False
W-002530,COMPLETION,73.647627,HIGH,14,13,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 100.000; persistence boost 10 points.,OPERATIONAL_TREND_CONTEXT,8.686131,state_name=Rajasthan|district=Rajasthan Demo District 2 context; strongest metric progress_report_count; signed robust z 25.631.,False,True,True,False,False,False,False
W-000675,COMPLETION,73.531818,HIGH,15,14,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 100.000; persistence boost 10 points.,ANOMALY,8.0,Within-lifecycle statistical unusualness percentile 100.000; not a probability.,False,True,True,False,False,False,False
W-002864,COMPLETION,73.382848,HIGH,16,15,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 100.000; persistence boost 10 points.,ANOMALY,7.979253,Within-lifecycle statistical unusualness percentile 99.741; not a probability.,False,True,True,False,False,False,False
W-002240,EXECUTION,73.342331,HIGH,17,2,100,PAYMENT_EXECUTION,24.622546,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 98.490; persistence boost 10 points.,OBSERVED_CONDITIONS,20.0,"Observed overdue=True (days=967.0, score=100.000); observed over sanction=True (overrun_pct=1.188858695652174, score=80.263).",ANOMALY,9.825,Within-lifecycle statistical unusualness percentile 98.250; not a probability.,False,True,True,False,True,True,True
W-001760,COMPLETION,73.122318,HIGH,18,16,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 100.000; persistence boost 10 points.,ANOMALY,7.937759,Within-lifecycle statistical unusualness percentile 99.222; not a probability.,False,True,True,False,False,False,False
W-002807,COMPLETION,72.87466,HIGH,19,17,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 100.000; persistence boost 10 points.,ANOMALY,7.323651,Within-lifecycle statistical unusualness percentile 91.546; not a probability.,False,True,True,False,False,False,False
W-000564,COMPLETION,72.809852,HIGH,20,18,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,17.91063,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 89.553; persistence boost 10 points.,DUPLICATE_REVIEW,14.298486,Corroborated Day-4.1 duplicate review candidate; best similarity score 95.323.,True,True,True,False,False,False,False
W-001777,COMPLETION,72.759149,HIGH,21,19,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 100.000; persistence boost 10 points.,ANOMALY,7.921162,Within-lifecycle statistical unusualness percentile 99.015; not a probability.,False,True,True,False,False,False,False
W-002975,COMPLETION,72.630838,HIGH,22,20,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 100.000; persistence boost 10 points.,OPERATIONAL_TREND_CONTEXT,8.248175,state_name=Odisha|district=Odisha Demo District 4 context; strongest metric progress_report_count; signed robust z 21.696.,False,True,True,False,False,False,False
W-002941,COMPLETION,71.832237,HIGH,23,21,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 100.000; persistence boost 10 points.,OPERATIONAL_TREND_CONTEXT,8.029197,state_name=Odisha|district=Odisha Demo District 2 context; strongest metric progress_report_count; signed robust z 20.347.,False,True,True,False,False,False,False
W-000461,COMPLETION,71.823984,HIGH,24,22,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 100.000; persistence boost 10 points.,OPERATIONAL_TREND_CONTEXT,9.051095,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 3 context; strongest metric progress_report_count; signed robust z 29.172.,False,True,True,False,False,False,False
W-002719,COMPLETION,71.507561,HIGH,25,23,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 100.000; persistence boost 10 points.,ANOMALY,7.892116,Within-lifecycle statistical unusualness percentile 98.651; not a probability.,False,True,True,False,False,False,False
W-002522,EXECUTION,71.350907,HIGH,26,3,100,PAYMENT_EXECUTION,25.0,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 100.000; persistence boost 10 points.,OBSERVED_CONDITIONS,18.684211,"Observed overdue=False (days=0.0, score=0.000); observed over sanction=True (overrun_pct=48.82408278457197, score=93.421).",ANOMALY,9.8125,Within-lifecycle statistical unusualness percentile 98.125; not a probability.,False,True,True,False,False,True,True
