work_id,lifecycle_stage,review_priority_score_0_100,review_priority_band,review_priority_rank_overall,review_priority_rank_within_lifecycle,fusion_evidence_coverage_pct,top_contributor_1_family,top_contributor_1_points,top_contributor_1_summary,top_contributor_2_family,top_contributor_2_points,top_contributor_2_summary,top_contributor_3_family,top_contributor_3_points,top_contributor_3_summary,has_duplicate_review_candidate,has_payment_evidence,has_compliance_review,has_deterministic_non_compliant_evidence,already_overdue_as_of,already_over_sanction_as_of,cost_prediction_available
W-000001,COMPLETION,45.489263,MEDIUM,1505,1407,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,ANOMALY,7.759336,Within-lifecycle statistical unusualness percentile 96.992; not a probability.,OPERATIONAL_TREND_CONTEXT,5.729927,state_name=Odisha|district=Odisha Demo District 4|sector=Sports context; strongest metric progress_report_count; signed robust z 12.478.,False,False,True,False,False,False,False
W-000002,COMPLETION,55.239422,HIGH,634,595,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,12.0,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 10.000; persistence boost 10 points.,OPERATIONAL_TREND_CONTEXT,9.160584,state_name=Karnataka|district=Karnataka Demo District 1|sector=Sports context; strongest metric progress_report_count; signed robust z 30.352.,False,True,True,False,False,False,False
W-000003,COMPLETION,49.489205,MEDIUM,1143,1081,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,10.937035,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 54.685; persistence boost 10 points.,OPERATIONAL_TREND_CONTEXT,6.058394,state_name=Telangana|district=Telangana Demo District 1 context; strongest metric progress_report_count; signed robust z 13.153.,False,True,True,False,False,False,False
W-000004,COMPLETION,46.318064,MEDIUM,1426,1335,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,12.0,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 26.181; persistence boost 10 points.,OPERATIONAL_TREND_CONTEXT,1.222628,state_name=Odisha|district=Odisha Demo District 2|sector=Drinking Water context; strongest metric progress_report_count; signed robust z 4.721.,False,True,True,False,False,False,False
W-000005,EXECUTION,43.319184,MEDIUM,1716,119,100,PAYMENT_EXECUTION,15.0,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 0.000; persistence boost 0 points.,OBSERVED_CONDITIONS,14.630996,"Observed overdue=True (days=430.0, score=73.155); observed over sanction=False (overrun_pct=0.0, score=0.000).",ANOMALY,5.2375,Within-lifecycle statistical unusualness percentile 52.375; not a probability.,False,True,False,False,True,False,True
W-000006,COMPLETION,48.990263,MEDIUM,1183,1115,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,12.0,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 10.000; persistence boost 10 points.,ANOMALY,3.767635,Within-lifecycle statistical unusualness percentile 47.095; not a probability.,False,True,True,False,False,False,False
W-000007,COMPLETION,36.869931,MEDIUM,2126,1898,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,2.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 10.000; persistence boost 10 points.,ANOMALY,1.647303,Within-lifecycle statistical unusualness percentile 20.591; not a probability.,False,False,True,False,False,False,False
W-000008,EXECUTION,27.758948,MEDIUM,2346,301,100,PAYMENT_EXECUTION,18.280298,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 73.121; persistence boost 0 points.,COMPLIANCE,6.0,Strongest actionable compliance result REVIEW/WARNING under rule MPLADS-3.2.12-COMPLETION-LIMIT.,ANOMALY,1.9,Within-lifecycle statistical unusualness percentile 19.000; not a probability.,False,True,True,False,False,False,True
W-000009,COMPLETION,54.778189,HIGH,676,636,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,12.0,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 10.880; persistence boost 10 points.,ANOMALY,7.726141,Within-lifecycle statistical unusualness percentile 96.577; not a probability.,False,True,True,False,False,False,False
W-000010,COMPLETION,43.947361,MEDIUM,1649,1530,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,OPERATIONAL_TREND_CONTEXT,9.051095,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 3 context; strongest metric progress_report_count; signed robust z 29.172.,ANOMALY,2.896266,Within-lifecycle statistical unusualness percentile 36.203; not a probability.,False,False,True,False,False,False,False
W-000011,COMPLETION,44.131099,MEDIUM,1633,1515,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,OPERATIONAL_TREND_CONTEXT,8.375912,state_name=Odisha|district=Odisha Demo District 2|sector=Sanitation context; strongest metric progress_report_count; signed robust z 22.258.,PAYMENT_EXECUTION,2.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 10.000; persistence boost 10 points.,False,False,True,False,False,False,False
W-000012,EXECUTION,21.267701,LOW,2541,430,100,PAYMENT_EXECUTION,15.0,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 0.000; persistence boost 0 points.,COST_OVERRUN_PREDICTION,3.2875,Weak secondary raw-XGBoost serving percentile 65.750; calibrated output excluded.,OPERATIONAL_TREND_CONTEXT,1.742701,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 2|sector=Community Infrastructure context; strongest metric progress_report_count; signed robust z 8.094.,False,True,False,False,False,False,True
W-000013,EXECUTION,20.623743,LOW,2565,448,100,PEER_DEVIATION,9.911243,2 peer-outlier metric(s); strongest max_physical_progress_drop_pct_as_of has absolute robust deviation 148.390.,COMPLIANCE,6.0,Strongest actionable compliance result REVIEW/WARNING under rule MPLADS-3.2.12-COMPLETION-LIMIT.,ANOMALY,4.125,Within-lifecycle statistical unusualness percentile 41.250; not a probability.,False,False,True,False,False,False,True
W-000014,COMPLETION,52.255672,HIGH,922,870,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,12.0,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 19.567; persistence boost 0 points.,OPERATIONAL_TREND_CONTEXT,8.193431,state_name=Telangana|district=Telangana Demo District 1|sector=Sanitation context; strongest metric progress_report_count; signed robust z 21.584.,False,True,True,False,False,False,False
W-000015,EXECUTION,33.065099,MEDIUM,2224,232,100,OBSERVED_CONDITIONS,14.944649,"Observed overdue=True (days=444.0, score=74.723); observed over sanction=False (overrun_pct=0.0, score=0.000).",PEER_DEVIATION,5.35503,2 peer-outlier metric(s); strongest overdue_days_as_of has absolute robust deviation 9.583.,ANOMALY,4.75,Within-lifecycle statistical unusualness percentile 47.500; not a probability.,False,False,False,False,True,False,True
W-000016,EXECUTION,13.141195,LOW,2784,614,100,COMPLIANCE,6.0,Strongest actionable compliance result REVIEW/WARNING under rule MPLADS-3.2.12-COMPLETION-LIMIT.,COST_OVERRUN_PREDICTION,3.26875,Weak secondary raw-XGBoost serving percentile 65.375; calibrated output excluded.,OPERATIONAL_TREND_CONTEXT,3.047445,state_name=Rajasthan|district=Rajasthan Demo District 3 context; strongest metric progress_report_count; signed robust z 13.288.,False,False,True,False,False,False,True
W-000017,EXECUTION,24.933029,LOW,2438,363,100,PAYMENT_EXECUTION,15.0,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 0.000; persistence boost 0 points.,ANOMALY,5.125,Within-lifecycle statistical unusualness percentile 51.250; not a probability.,COST_OVERRUN_PREDICTION,2.6,Weak secondary raw-XGBoost serving percentile 52.000; calibrated output excluded.,False,True,False,False,False,False,True
W-000018,COMPLETION,68.207361,HIGH,65,56,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,20.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 100.000; persistence boost 10 points.,OPERATIONAL_TREND_CONTEXT,8.029197,state_name=Odisha|district=Odisha Demo District 2 context; strongest metric progress_report_count; signed robust z 20.347.,False,True,True,False,False,False,False
W-000019,COMPLETION,68.178461,HIGH,66,57,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,PAYMENT_EXECUTION,18.249154,Capped payment/execution family: payment severity score 60.0; positive fund-progress score 91.246; persistence boost 10 points.,OPERATIONAL_TREND_CONTEXT,7.591241,state_name=Maharashtra|district=Maharashtra Demo District 3|sector=Renewable Energy context; strongest metric progress_report_count; signed robust z 18.212.,False,True,True,False,False,False,False
W-000020,COMPLETION,43.550625,MEDIUM,1694,1567,100,COMPLIANCE,32.0,Strongest actionable compliance result REVIEW/STRONG_WARNING under rule MPLADS-11.2-COMPLETION-UC.,OPERATIONAL_TREND_CONTEXT,9.160584,state_name=Maharashtra|district=Maharashtra Demo District 1|sector=Community Infrastructure context; strongest metric progress_report_count; signed robust z 30.352.,PAYMENT_EXECUTION,2.0,Capped payment/execution family: payment severity score 0.0; positive fund-progress score 10.000; persistence boost 10 points.,False,False,True,False,False,False,False
