alert_type,group_type,group_value,metric,month,current_value,current_event_count,baseline_month_count,historical_event_support,median,mad,q1,q3,iqr,p10,p90,robust_z,deviation_method,ewma,trend_deviation_flag,evidence_summary
OPERATIONAL_TREND_DEVIATION,SECTOR,sector=Sports,recommended_amount_inr,2023-08,27470000.0,15,4,43,18009500.0,1360000.0,15190250.0,18865250.0,3675000.0,10748300.0,19772900.0,4.691990625,MAD,18614801.9,True,recommended_amount_inr for sector=Sports in 2023-08 has signed robust z 4.692 against 4 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Telangana,sanction_work_count,2023-08,8.0,8,4,45,13.5,0.5,10.75,14.0,3.25,6.7,14.0,-7.4195,MAD,9.652,True,sanction_work_count for state_name=Telangana in 2023-08 has signed robust z -7.420 against 4 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Karnataka|district=Karnataka Demo District 2,recommended_amount_inr,2023-09,2811000.0,1,5,25,8474000.0,712000.0,7762000.0,8783000.0,1021000.0,7453600.0,10968800.0,-5.364738061797753,MAD,7154010.839999999,True,recommended_amount_inr for state_name=Karnataka|district=Karnataka Demo District 2 in 2023-09 has signed robust z -5.365 against 5 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Andhra Pradesh,sanctioned_amount_inr,2023-09,33211000.0,16,5,53,24280000.0,281000.0,23999000.0,24407000.0,408000.0,13446800.0,26150600.0,21.437578291814948,MAD,24128750.529999997,True,sanctioned_amount_inr for state_name=Andhra Pradesh in 2023-09 has signed robust z 21.438 against 5 causal prior months.
OPERATIONAL_TREND_DEVIATION,SECTOR,sector=Roads & Bridges,recommendation_work_count,2023-10,4.0,4,6,53,10.5,1.0,6.25,11.0,4.75,4.5,11.5,-4.38425,MAD,7.600176999999999,True,recommendation_work_count for sector=Roads & Bridges in 2023-10 has signed robust z -4.384 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,SECTOR,sector=Roads & Bridges,recommended_amount_inr,2023-10,10907000.0,4,6,53,30426500.0,3541000.0,16376500.0,31652250.0,15275750.0,10086000.0,33967500.0,-3.718131248234962,MAD,21553880.468,True,recommended_amount_inr for sector=Roads & Bridges in 2023-10 has signed robust z -3.718 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Andhra Pradesh,sanctioned_amount_inr,2023-10,37463000.0,17,6,69,24343500.0,1657000.0,24069250.0,26586500.0,2517250.0,15205500.0,30262000.0,5.34043617984309,MAD,28129025.370999996,True,sanctioned_amount_inr for state_name=Andhra Pradesh in 2023-10 has signed robust z 5.340 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Karnataka,released_payment_amount_inr,2023-10,18124000.0,25,4,23,3308000.0,2568000.0,991000.0,5906750.0,4915750.0,539200.0,6865700.0,3.8915077881619937,MAD,7988173.6,True,released_payment_amount_inr for state_name=Karnataka in 2023-10 has signed robust z 3.892 against 4 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Karnataka,released_payment_count,2023-10,25.0,25,4,23,5.0,3.5,1.75,9.0,7.25,1.3,10.8,3.8542857142857145,MAD,11.6419,True,released_payment_count for state_name=Karnataka in 2023-10 has signed robust z 3.854 against 4 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Rajasthan,recommendation_work_count,2023-10,4.0,4,6,77,12.5,1.0,12.0,13.75,1.75,11.5,14.5,-5.73325,MAD,10.478380999999997,True,recommendation_work_count for state_name=Rajasthan in 2023-10 has signed robust z -5.733 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,SECTOR,sector=Sports,sanction_work_count,2023-11,1.0,1,6,61,11.0,1.0,9.5,11.0,1.5,7.0,12.5,-6.745,MAD,7.2822431,True,sanction_work_count for sector=Sports in 2023-11 has signed robust z -6.745 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Karnataka,sanction_work_count,2023-11,6.0,6,6,84,15.0,0.0,13.5,15.0,1.5,12.0,15.0,-8.094,IQR_FALLBACK,10.570804699999997,True,sanction_work_count for state_name=Karnataka in 2023-11 has signed robust z -8.094 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Karnataka,sanctioned_amount_inr,2023-11,10391000.0,6,6,84,28386500.0,3035000.0,25923250.0,30594000.0,4670750.0,22817500.0,33598000.0,-3.999329406919275,MAD,20371207.520499997,True,sanctioned_amount_inr for state_name=Karnataka in 2023-11 has signed robust z -3.999 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Maharashtra,released_payment_amount_inr,2023-11,8338000.0,19,4,23,3730500.0,406000.0,3125000.0,4018750.0,893750.0,2342000.0,4230700.0,7.654578201970443,MAD,4709307.8,True,released_payment_amount_inr for state_name=Maharashtra in 2023-11 has signed robust z 7.655 against 4 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Maharashtra,released_payment_count,2023-11,19.0,19,4,23,7.0,1.0,4.75,8.0,3.25,2.5,8.0,8.094,MAD,9.413499999999999,True,released_payment_count for state_name=Maharashtra in 2023-11 has signed robust z 8.094 against 4 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Odisha,released_payment_amount_inr,2023-11,14727000.0,24,4,37,2963000.0,981500.0,2466250.0,4501000.0,2034750.0,1593700.0,7247800.000000001,8.08437901171676,MAD,7308654.1,True,released_payment_amount_inr for state_name=Odisha in 2023-11 has signed robust z 8.084 against 4 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Odisha,released_payment_count,2023-11,24.0,24,4,37,10.5,2.5,7.25,12.5,5.25,4.1000000000000005,13.4,3.6423,MAD,13.177999999999997,True,released_payment_count for state_name=Odisha in 2023-11 has signed robust z 3.642 against 4 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Odisha,sanctioned_amount_inr,2023-11,9771000.0,7,6,64,23182000.0,881000.0,22006750.0,23383750.0,1377000.0,16377500.0,26806000.0,-10.267559023836549,MAD,17445326.447899997,True,sanctioned_amount_inr for state_name=Odisha in 2023-11 has signed robust z -10.268 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,STATE,state_name=Rajasthan,recommendation_work_count,2023-11,18.0,18,6,70,12.5,1.0,12.0,13.75,1.75,8.0,14.5,3.70975,MAD,12.734866699999998,True,recommendation_work_count for state_name=Rajasthan in 2023-11 has signed robust z 3.710 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,recommendation_work_count,2023-12,7.0,7,6,23,4.0,0.5,3.25,4.0,0.75,2.5,5.0,4.047,MAD,4.610105709999999,True,recommendation_work_count for state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1 in 2023-12 has signed robust z 4.047 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 4,recommended_amount_inr,2023-12,2434000.0,2,6,23,10224500.0,1360500.0,6960500.0,10905500.0,3945000.0,3846500.0,11585000.0,-3.862324329290702,MAD,6020455.87433,True,recommended_amount_inr for state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 4 in 2023-12 has signed robust z -3.862 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Odisha|district=Odisha Demo District 1,sanction_work_count,2023-12,0.0,0,6,21,3.5,0.5,3.0,4.0,1.0,2.0,5.0,-4.7215,MAD,1.8170970999999996,True,sanction_work_count for state_name=Odisha|district=Odisha Demo District 1 in 2023-12 has signed robust z -4.721 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,DISTRICT,state_name=Odisha|district=Odisha Demo District 1,sanctioned_amount_inr,2023-12,0.0,0,6,21,6573000.0,1097000.0,6330500.0,7984000.0,1653500.0,3827000.0,9844000.0,-4.041466271649955,MAD,3681491.254699999,True,sanctioned_amount_inr for state_name=Odisha|district=Odisha Demo District 1 in 2023-12 has signed robust z -4.041 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,SECTOR,sector=Education,recommended_amount_inr,2023-12,10293000.0,6,6,56,20177000.0,1827500.0,16200250.0,20919000.0,4718750.0,14068500.0,22004500.0,-3.6480207934336524,MAD,16550723.505949996,True,recommended_amount_inr for sector=Education in 2023-12 has signed robust z -3.648 against 6 causal prior months.
OPERATIONAL_TREND_DEVIATION,SECTOR,sector=Renewable Energy,released_payment_count,2023-12,17.0,17,5,29,5.0,2.0,4.0,8.0,4.0,3.4,8.6,4.047,MAD,9.472829999999998,True,released_payment_count for sector=Renewable Energy in 2023-12 has signed robust z 4.047 against 5 causal prior months.
OPERATIONAL_TREND_DEVIATION,SECTOR,sector=Sanitation,released_payment_amount_inr,2023-12,9662000.0,17,5,28,2979000.0,597000.0,1251000.0,2991000.0,1740000.0,915600.0,3342000.0,7.550558626465661,MAD,4511991.71,True,released_payment_amount_inr for sector=Sanitation in 2023-12 has signed robust z 7.551 against 5 causal prior months.
