group_type,group_value,metric,month,current_value,current_event_count,baseline_month_count,historical_event_support,median,mad,q1,q3,iqr,p10,p90,robust_z,deviation_method,ewma,trend_deviation_flag
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2023-12,1.0,1,0,0,,,,,,,,,INSUFFICIENT_PRIOR_MONTHS,1.0,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2024-01,3.0,3,1,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,INSUFFICIENT_PRIOR_MONTHS,1.5999999999999999,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2024-02,6.0,6,2,4,2.0,1.0,1.5,2.5,1.0,1.2,2.8,,INSUFFICIENT_PRIOR_MONTHS,2.92,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2024-03,4.0,4,3,10,3.0,2.0,2.0,4.5,2.5,1.4,5.4,,INSUFFICIENT_PRIOR_MONTHS,3.2439999999999998,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2024-04,2.0,2,4,14,3.5,1.5,2.5,4.5,2.0,1.6,5.4,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,2.8707999999999996,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2024-05,5.0,5,5,16,3.0,1.0,2.0,4.0,2.0,1.4,5.2,,INSUFFICIENT_HISTORICAL_EVENT_SUPPORT,3.5095599999999996,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2024-06,8.0,8,6,21,3.5,1.5,2.25,4.75,2.5,1.5,5.5,2.0235,MAD,4.856691999999999,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2024-07,6.0,6,6,28,4.5,1.5,3.25,5.75,2.5,2.5,7.0,0.6745,MAD,5.199684399999999,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2024-08,5.0,5,6,31,5.5,1.0,4.25,6.0,1.75,3.0,7.0,-0.33725,MAD,5.1397790799999985,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2024-09,10.0,10,6,30,5.0,1.0,4.25,5.75,1.5,3.0,7.0,3.3725,MAD,6.597845355999999,False
DISTRICT,state_name=Andhra Pradesh|district=Andhra Pradesh Demo District 1,progress_report_count,2024-10,12.0,12,6,36,5.5,1.5,5.0,7.5,2.5,3.5,9.0,2.922833333333333,MAD,8.218491749199998,False
